Year,SEX,AREA,Value
2006,Male,Palestine,2620.3
2007,Male,Palestine,2620.3
2008,Male,Palestine,2620.3
2009,Male,Palestine,2620.3
2010,Male,Palestine,2620.3
2011,Male,Palestine,2620.3
2012,Male,Palestine,2620.3
2013,Male,Palestine,2620.3
2014,Male,Palestine,2620.3
2015,Male,Palestine,2620.3
2016,Male,Palestine,2620.3
2017,Male,Palestine,2620.3
2018,Male,Palestine,2620.3
2006,Male,Jenin,3226.3
2007,Male,Jenin,3226.3
2008,Male,Jenin,3226.3
2009,Male,Jenin,3226.3
2010,Male,Jenin,3226.3
2011,Male,Jenin,3226.3
2012,Male,Jenin,3226.3
2013,Male,Jenin,3226.3
2014,Male,Jenin,3226.3
2015,Male,Jenin,3226.3
2016,Male,Jenin,3226.3
2017,Male,Jenin,3226.3
2018,Male,Jenin,3226.3
2006,Male,Tubas & Northern Valleys,4614.9
2007,Male,Tubas & Northern Valleys,4614.9
2008,Male,Tubas & Northern Valleys,4614.9
2009,Male,Tubas & Northern Valleys,4614.9
2010,Male,Tubas & Northern Valleys,4614.9
2011,Male,Tubas & Northern Valleys,4614.9
2012,Male,Tubas & Northern Valleys,4614.9
2013,Male,Tubas & Northern Valleys,4614.9
2014,Male,Tubas & Northern Valleys,4614.9
2015,Male,Tubas & Northern Valleys,4614.9
2016,Male,Tubas & Northern Valleys,4614.9
2017,Male,Tubas & Northern Valleys,4614.9
2018,Male,Tubas & Northern Valleys,4614.9
2006,Male,Tulkarm,4777.2
2007,Male,Tulkarm,4777.2
2008,Male,Tulkarm,4777.2
2009,Male,Tulkarm,4777.2
2010,Male,Tulkarm,4777.2
2011,Male,Tulkarm,4777.2
2012,Male,Tulkarm,4777.2
2013,Male,Tulkarm,4777.2
2014,Male,Tulkarm,4777.2
2015,Male,Tulkarm,4777.2
2016,Male,Tulkarm,4777.2
2017,Male,Tulkarm,4777.2
2018,Male,Tulkarm,4777.2
2006,Male,Nablus,
2007,Male,Nablus,
2008,Male,Nablus,
2009,Male,Nablus,
2010,Male,Nablus,
2011,Male,Nablus,
2012,Male,Nablus,
2013,Male,Nablus,
2014,Male,Nablus,
