Year,SEX,AREA,AGE,Value
2000,Male,West Bank,All age ranges or no breakdown by age,
2001,Male,West Bank,All age ranges or no breakdown by age,
2002,Male,West Bank,All age ranges or no breakdown by age,
2003,Male,West Bank,All age ranges or no breakdown by age,
2004,Male,West Bank,All age ranges or no breakdown by age,
2005,Male,West Bank,All age ranges or no breakdown by age,
2006,Male,West Bank,All age ranges or no breakdown by age,
2007,Male,West Bank,All age ranges or no breakdown by age,
2008,Male,West Bank,All age ranges or no breakdown by age,
2009,Male,West Bank,All age ranges or no breakdown by age,
2010,Male,West Bank,All age ranges or no breakdown by age,
2011,Male,West Bank,All age ranges or no breakdown by age,
2012,Male,West Bank,All age ranges or no breakdown by age,
2013,Male,West Bank,All age ranges or no breakdown by age,
2014,Male,West Bank,All age ranges or no breakdown by age,
2015,Male,West Bank,All age ranges or no breakdown by age,
2016,Male,West Bank,All age ranges or no breakdown by age,
2017,Male,West Bank,All age ranges or no breakdown by age,
2018,Male,West Bank,All age ranges or no breakdown by age,
2000,Male,West Bank,10 to 14 years old,
2001,Male,West Bank,10 to 14 years old,
2002,Male,West Bank,10 to 14 years old,
2003,Male,West Bank,10 to 14 years old,
2004,Male,West Bank,10 to 14 years old,
2005,Male,West Bank,10 to 14 years old,
2006,Male,West Bank,10 to 14 years old,
2007,Male,West Bank,10 to 14 years old,
2008,Male,West Bank,10 to 14 years old,
2009,Male,West Bank,10 to 14 years old,
2010,Male,West Bank,10 to 14 years old,
2011,Male,West Bank,10 to 14 years old,
2012,Male,West Bank,10 to 14 years old,
2013,Male,West Bank,10 to 14 years old,
2014,Male,West Bank,10 to 14 years old,
2015,Male,West Bank,10 to 14 years old,
2016,Male,West Bank,10 to 14 years old,
2017,Male,West Bank,10 to 14 years old,
2018,Male,West Bank,10 to 14 years old,
2000,Male,West Bank,10 to 17 years old,
2001,Male,West Bank,10 to 17 years old,
2002,Male,West Bank,10 to 17 years old,
2003,Male,West Bank,10 to 17 years old,
2004,Male,West Bank,10 to 17 years old,
2005,Male,West Bank,10 to 17 years old,
2006,Male,West Bank,10 to 17 years old,
2007,Male,West Bank,10 to 17 years old,
2008,Male,West Bank,10 to 17 years old,
2009,Male,West Bank,10 to 17 years old,
2010,Male,West Bank,10 to 17 years old,
2011,Male,West Bank,10 to 17 years old,
2012,Male,West Bank,10 to 17 years old,
2013,Male,West Bank,10 to 17 years old,
2014,Male,West Bank,10 to 17 years old,
2015,Male,West Bank,10 to 17 years old,
2016,Male,West Bank,10 to 17 years old,
2017,Male,West Bank,10 to 17 years old,
2018,Male,West Bank,10 to 17 years old,
2000,Male,West Bank,15 to 17 years old,
2001,Male,West Bank,15 to 17 years old,
2002,Male,West Bank,15 to 17 years old,
2003,Male,West Bank,15 to 17 years old,
2004,Male,West Bank,15 to 17 years old,
2005,Male,West Bank,15 to 17 years old,
2006,Male,West Bank,15 to 17 years old,
2007,Male,West Bank,15 to 17 years old,
2008,Male,West Bank,15 to 17 years old,
2009,Male,West Bank,15 to 17 years old,
2010,Male,West Bank,15 to 17 years old,
2011,Male,West Bank,15 to 17 years old,
2012,Male,West Bank,15 to 17 years old,
2013,Male,West Bank,15 to 17 years old,
2014,Male,West Bank,15 to 17 years old,
2015,Male,West Bank,15 to 17 years old,
2016,Male,West Bank,15 to 17 years old,
2017,Male,West Bank,15 to 17 years old,
2018,Male,West Bank,15 to 17 years old,
2000,Male,Gaza Strip,All age ranges or no breakdown by age,
2001,Male,Gaza Strip,All age ranges or no breakdown by age,
2002,Male,Gaza Strip,All age ranges or no breakdown by age,
2003,Male,Gaza Strip,All age ranges or no breakdown by age,
2004,Male,Gaza Strip,All age ranges or no breakdown by age,
2005,Male,Gaza Strip,All age ranges or no breakdown by age,
2006,Male,Gaza Strip,All age ranges or no breakdown by age,
2007,Male,Gaza Strip,All age ranges or no breakdown by age,
2008,Male,Gaza Strip,All age ranges or no breakdown by age,
2009,Male,Gaza Strip,All age ranges or no breakdown by age,
2010,Male,Gaza Strip,All age ranges or no breakdown by age,
2011,Male,Gaza Strip,All age ranges or no breakdown by age,
2012,Male,Gaza Strip,All age ranges or no breakdown by age,
2013,Male,Gaza Strip,All age ranges or no breakdown by age,
2014,Male,Gaza Strip,All age ranges or no breakdown by age,
2015,Male,Gaza Strip,All age ranges or no breakdown by age,
2016,Male,Gaza Strip,All age ranges or no breakdown by age,
2017,Male,Gaza Strip,All age ranges or no breakdown by age,
2018,Male,Gaza Strip,All age ranges or no breakdown by age,
2000,Male,Gaza Strip,10 to 14 years old,
2001,Male,Gaza Strip,10 to 14 years old,
2002,Male,Gaza Strip,10 to 14 years old,
2003,Male,Gaza Strip,10 to 14 years old,
2004,Male,Gaza Strip,10 to 14 years old,
2005,Male,Gaza Strip,10 to 14 years old,
2006,Male,Gaza Strip,10 to 14 years old,
2007,Male,Gaza Strip,10 to 14 years old,
2008,Male,Gaza Strip,10 to 14 years old,
2009,Male,Gaza Strip,10 to 14 years old,
2010,Male,Gaza Strip,10 to 14 years old,
2011,Male,Gaza Strip,10 to 14 years old,
2012,Male,Gaza Strip,10 to 14 years old,
2013,Male,Gaza Strip,10 to 14 years old,
2014,Male,Gaza Strip,10 to 14 years old,
2015,Male,Gaza Strip,10 to 14 years old,
2016,Male,Gaza Strip,10 to 14 years old,
2017,Male,Gaza Strip,10 to 14 years old,
2018,Male,Gaza Strip,10 to 14 years old,
2000,Male,Gaza Strip,10 to 17 years old,
2001,Male,Gaza Strip,10 to 17 years old,
2002,Male,Gaza Strip,10 to 17 years old,
2003,Male,Gaza Strip,10 to 17 years old,
2004,Male,Gaza Strip,10 to 17 years old,
2005,Male,Gaza Strip,10 to 17 years old,
2006,Male,Gaza Strip,10 to 17 years old,
2007,Male,Gaza Strip,10 to 17 years old,
2008,Male,Gaza Strip,10 to 17 years old,
2009,Male,Gaza Strip,10 to 17 years old,
2010,Male,Gaza Strip,10 to 17 years old,
2011,Male,Gaza Strip,10 to 17 years old,
2012,Male,Gaza Strip,10 to 17 years old,
2013,Male,Gaza Strip,10 to 17 years old,
2014,Male,Gaza Strip,10 to 17 years old,
2015,Male,Gaza Strip,10 to 17 years old,
2016,Male,Gaza Strip,10 to 17 years old,
2017,Male,Gaza Strip,10 to 17 years old,
2018,Male,Gaza Strip,10 to 17 years old,
2000,Male,Gaza Strip,15 to 17 years old,
2001,Male,Gaza Strip,15 to 17 years old,
2002,Male,Gaza Strip,15 to 17 years old,
2003,Male,Gaza Strip,15 to 17 years old,
2004,Male,Gaza Strip,15 to 17 years old,
2005,Male,Gaza Strip,15 to 17 years old,
2006,Male,Gaza Strip,15 to 17 years old,
2007,Male,Gaza Strip,15 to 17 years old,
2008,Male,Gaza Strip,15 to 17 years old,
2009,Male,Gaza Strip,15 to 17 years old,
2010,Male,Gaza Strip,15 to 17 years old,
2011,Male,Gaza Strip,15 to 17 years old,
2012,Male,Gaza Strip,15 to 17 years old,
2013,Male,Gaza Strip,15 to 17 years old,
2014,Male,Gaza Strip,15 to 17 years old,
2015,Male,Gaza Strip,15 to 17 years old,
2016,Male,Gaza Strip,15 to 17 years old,
2017,Male,Gaza Strip,15 to 17 years old,
2018,Male,Gaza Strip,15 to 17 years old,
2000,Male,Palestine,All age ranges or no breakdown by age,7.9
2001,Male,Palestine,All age ranges or no breakdown by age,4.2
2002,Male,Palestine,All age ranges or no breakdown by age,2.9
2003,Male,Palestine,All age ranges or no breakdown by age,4.7
2004,Male,Palestine,All age ranges or no breakdown by age,4.1
2005,Male,Palestine,All age ranges or no breakdown by age,5.2
2006,Male,Palestine,All age ranges or no breakdown by age,7.4
2007,Male,Palestine,All age ranges or no breakdown by age,7.8
2008,Male,Palestine,All age ranges or no breakdown by age,6.4
2009,Male,Palestine,All age ranges or no breakdown by age,6.4
2010,Male,Palestine,All age ranges or no breakdown by age,6.2
2011,Male,Palestine,All age ranges or no breakdown by age,7.4
2012,Male,Palestine,All age ranges or no breakdown by age,7.4
