Year,SEX,AREA,OCCUPATION,Series,Value
2000,Male,West Bank,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2001,Male,West Bank,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2002,Male,West Bank,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2003,Male,West Bank,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2004,Male,West Bank,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2005,Male,West Bank,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2006,Male,West Bank,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2007,Male,West Bank,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2008,Male,West Bank,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2009,Male,West Bank,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2010,Male,West Bank,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2011,Male,West Bank,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2012,Male,West Bank,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2013,Male,West Bank,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2014,Male,West Bank,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2015,Male,West Bank,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2016,Male,West Bank,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2017,Male,West Bank,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2018,Male,West Bank,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2019,Male,West Bank,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2020,Male,West Bank,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2021,Male,West Bank,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2000,Male,West Bank,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2001,Male,West Bank,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2002,Male,West Bank,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2003,Male,West Bank,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2004,Male,West Bank,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2005,Male,West Bank,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2006,Male,West Bank,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2007,Male,West Bank,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2008,Male,West Bank,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2009,Male,West Bank,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2010,Male,West Bank,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2011,Male,West Bank,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2012,Male,West Bank,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2013,Male,West Bank,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2014,Male,West Bank,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2015,Male,West Bank,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2016,Male,West Bank,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2017,Male,West Bank,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2018,Male,West Bank,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2019,Male,West Bank,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2020,Male,West Bank,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2021,Male,West Bank,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2000,Male,West Bank,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2001,Male,West Bank,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
