Year,SEX,AREA,Series,Value
2002,Male,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",160.0
2006,Male,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",170.0
2009,Male,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",150.0
2012,Male,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",120.0
2015,Male,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",100.0
2017,Male,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2018,Male,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2019,Male,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2002,Male,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2006,Male,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2009,Male,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2012,Male,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2015,Male,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2017,Male,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2018,Male,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2019,Male,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2002,Male,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2006,Male,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2009,Male,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2012,Male,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2015,Male,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2017,Male,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",70.4
