Year,Series,Value
2000,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD,20.2
2001,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD,20.4
2002,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD,22.0
2003,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD,8.2
2004,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD,9.4
2005,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD,8.5
2006,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD,9.5
2007,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD,11.0
2008,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD,11.2
2009,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD,10.5
2010,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD,10.6
2011,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD,11.0
2012,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD,15.5
2013,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD,12.2
2014,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD,14.4
2015,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD,14.6
2016,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD,15.7
2017,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD,14.9
2018,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD,19.6
2019,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD,15.8
