Year,SEX,AREA,Series,Value
2000,Male,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2001,Male,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2002,Male,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2003,Male,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2004,Male,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2005,Male,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2006,Male,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2007,Male,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2008,Male,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2009,Male,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2010,Male,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2011,Male,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2012,Male,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2013,Male,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2014,Male,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2015,Male,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2016,Male,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2017,Male,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2018,Male,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2019,Male,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2020,Male,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2021,Male,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2000,Male,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2001,Male,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2002,Male,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2003,Male,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2004,Male,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2005,Male,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2006,Male,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2007,Male,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2008,Male,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2009,Male,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2010,Male,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2011,Male,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2012,Male,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2013,Male,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2014,Male,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2015,Male,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2016,Male,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2017,Male,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2018,Male,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2019,Male,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2020,Male,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2021,Male,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2000,Male,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",19.7
2001,Male,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",27.4
2002,Male,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",29.1
2003,Male,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",25.3
2004,Male,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",24.7
2005,Male,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",22.3
2006,Male,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",22.9
2007,Male,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",23.7
2008,Male,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",24.6
2009,Male,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",23.6
2010,Male,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",24.3
2011,Male,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",21.2
2012,Male,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",22.9
2013,Male,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",24.3
2014,Male,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",26.5
2015,Male,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",26.6
2016,Male,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",26.3
2017,Male,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",27.7
2018,Male,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",27.9
2019,Male,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",26.7
2020,Male,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",30.0
2021,Male,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",26.6
2000,Female,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2001,Female,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2002,Female,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2003,Female,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2004,Female,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2005,Female,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2006,Female,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2007,Female,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2008,Female,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2009,Female,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2010,Female,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2011,Female,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2012,Female,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2013,Female,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2014,Female,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2015,Female,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2016,Female,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2017,Female,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2018,Female,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2019,Female,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2020,Female,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2021,Female,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2000,Female,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2001,Female,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2002,Female,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2003,Female,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2004,Female,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2005,Female,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2006,Female,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2007,Female,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2008,Female,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2009,Female,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2010,Female,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2011,Female,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2012,Female,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2013,Female,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2014,Female,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2015,Female,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2016,Female,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2017,Female,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2018,Female,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2019,Female,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2020,Female,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2021,Female,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",
2000,Female,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",47.2
2001,Female,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",46.7
2002,Female,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",43.3
2003,Female,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",39.3
2004,Female,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",37.2
2005,Female,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",37.4
2006,Female,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",35.6
2007,Female,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",34.7
2008,Female,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",33.2
2009,Female,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",33.0
2010,Female,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",34.5
2011,Female,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",34.0
2012,Female,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",37.5
2013,Female,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",39.0
2014,Female,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",38.3
2015,Female,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",38.2
2016,Female,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",38.9
2017,Female,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",39.0
2018,Female,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",39.2
2019,Female,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",40.4
2020,Female,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",39.1
2021,Female,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",36.6
2000,,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",32.3
2001,,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",35.4
2002,,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",35.5
2003,,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",32.0
2004,,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",30.2
2005,,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",29.1
2006,,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",27.2
2007,,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",27.0
2008,,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",26.3
2009,,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",26.0
2010,,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",26.8
2011,,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",26.0
2012,,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",27.6
2013,,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",29.0
2014,,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",28.1
2015,,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",29.2
2016,,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",29.3
2017,,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",29.1
2018,,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",28.0
2019,,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",27.7
2020,,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",29.4
2021,,West Bank,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",26.4
2000,,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",34.8
2001,,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",39.4
2002,,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",37.2
2003,,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",32.6
2004,,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",31.9
2005,,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",30.9
2006,,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",32.3
2007,,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",32.5
2008,,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",32.7
2009,,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",31.7
2010,,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",33.2
2011,,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",29.8
2012,,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",33.7
2013,,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",35.3
2014,,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",38.5
2015,,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",36.7
2016,,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",37.2
2017,,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",39.4
2018,,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",41.7
2019,,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",42.2
2020,,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",42.1
2021,,Gaza Strip,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",39.3
2000,,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",33.3
2001,,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",36.9
2002,,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",36.1
2003,,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",32.2
2004,,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",30.8
2005,,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",29.8
2006,,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",29.1
2007,,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",29.1
2008,,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",28.8
2009,,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",28.2
2010,,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",29.3
2011,,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",27.5
2012,,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",30.0
2013,,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",31.4
2014,,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",32.2
2015,,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",32.2
2016,,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",32.4
2017,,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",33.2
2018,,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",33.4
2019,,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",33.4
2020,,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",34.5
2021,,Palestine,"Proportion of youth not in education, employment or training, by sex and age (%) by SEX, AREA and TIME PERIOD",31.5
