Year,SEX,AREA,AGE,Value
2004,Male,Palestine,,4.1
2005,Male,Palestine,,5.2
2006,Male,Palestine,,7.4
2007,Male,Palestine,,7.8
2008,Male,Palestine,,6.4
2009,Male,Palestine,,6.4
2010,Male,Palestine,,6.2
2011,Male,Palestine,,7.4
2012,Male,Palestine,,7.4
2013,Male,Palestine,,6.4
2014,Male,Palestine,,6.8
2015,Male,Palestine,,8.3
2016,Male,Palestine,,7.3
2017,Male,Palestine,,6.6
2018,Male,Palestine,,
2000,Male,Palestine,10 to 14 years old,
2001,Male,Palestine,10 to 14 years old,
2002,Male,Palestine,10 to 14 years old,
2003,Male,Palestine,10 to 14 years old,
2004,Male,Palestine,10 to 14 years old,
2005,Male,Palestine,10 to 14 years old,
2006,Male,Palestine,10 to 14 years old,
2007,Male,Palestine,10 to 14 years old,
2008,Male,Palestine,10 to 14 years old,
2009,Male,Palestine,10 to 14 years old,
2010,Male,Palestine,10 to 14 years old,
2011,Male,Palestine,10 to 14 years old,
2012,Male,Palestine,10 to 14 years old,
2013,Male,Palestine,10 to 14 years old,
2014,Male,Palestine,10 to 14 years old,
2015,Male,Palestine,10 to 14 years old,
2016,Male,Palestine,10 to 14 years old,
2017,Male,Palestine,10 to 14 years old,
2018,Male,Palestine,10 to 14 years old,
2000,Male,Palestine,10 to 17 years old,7.9
2001,Male,Palestine,10 to 17 years old,4.2
2002,Male,Palestine,10 to 17 years old,2.9
2003,Male,Palestine,10 to 17 years old,4.7
2004,Male,Palestine,10 to 17 years old,4.1
2005,Male,Palestine,10 to 17 years old,5.2
2006,Male,Palestine,10 to 17 years old,7.4
2007,Male,Palestine,10 to 17 years old,7.8
2008,Male,Palestine,10 to 17 years old,6.4
2009,Male,Palestine,10 to 17 years old,6.4
2010,Male,Palestine,10 to 17 years old,6.2
2011,Male,Palestine,10 to 17 years old,7.4
2012,Male,Palestine,10 to 17 years old,7.4
2013,Male,Palestine,10 to 17 years old,6.4
2014,Male,Palestine,10 to 17 years old,6.8
2015,Male,Palestine,10 to 17 years old,8.3
2016,Male,Palestine,10 to 17 years old,7.3
2017,Male,Palestine,10 to 17 years old,6.6
2018,Male,Palestine,10 to 17 years old,5.5
2000,Male,Palestine,15 to 17 years old,
2001,Male,Palestine,15 to 17 years old,
2002,Male,Palestine,15 to 17 years old,
2003,Male,Palestine,15 to 17 years old,
2004,Male,Palestine,15 to 17 years old,
2005,Male,Palestine,15 to 17 years old,
2006,Male,Palestine,15 to 17 years old,
2007,Male,Palestine,15 to 17 years old,
2008,Male,Palestine,15 to 17 years old,
2009,Male,Palestine,15 to 17 years old,
2010,Male,Palestine,15 to 17 years old,
2011,Male,Palestine,15 to 17 years old,
2012,Male,Palestine,15 to 17 years old,
2013,Male,Palestine,15 to 17 years old,
2014,Male,Palestine,15 to 17 years old,
2015,Male,Palestine,15 to 17 years old,
2016,Male,Palestine,15 to 17 years old,
2017,Male,Palestine,15 to 17 years old,
2018,Male,Palestine,15 to 17 years old,
2000,Female,West Bank,,
2001,Female,West Bank,,
2002,Female,West Bank,,
2003,Female,West Bank,,
2004,Female,West Bank,,
2005,Female,West Bank,,
2006,Female,West Bank,,
2007,Female,West Bank,,
2008,Female,West Bank,,
2009,Female,West Bank,,
2010,Female,West Bank,,
2011,Female,West Bank,,
2012,Female,West Bank,,
2013,Female,West Bank,,
2014,Female,West Bank,,
2015,Female,West Bank,,
2016,Female,West Bank,,
2017,Female,West Bank,,
2018,Female,West Bank,,
2000,Female,West Bank,10 to 14 years old,
2001,Female,West Bank,10 to 14 years old,
2002,Female,West Bank,10 to 14 years old,
2003,Female,West Bank,10 to 14 years old,
2004,Female,West Bank,10 to 14 years old,
2005,Female,West Bank,10 to 14 years old,
2006,Female,West Bank,10 to 14 years old,
2007,Female,West Bank,10 to 14 years old,
2008,Female,West Bank,10 to 14 years old,
2009,Female,West Bank,10 to 14 years old,
2010,Female,West Bank,10 to 14 years old,
2011,Female,West Bank,10 to 14 years old,
2012,Female,West Bank,10 to 14 years old,
2013,Female,West Bank,10 to 14 years old,
2014,Female,West Bank,10 to 14 years old,
2015,Female,West Bank,10 to 14 years old,
2016,Female,West Bank,10 to 14 years old,
2017,Female,West Bank,10 to 14 years old,
2018,Female,West Bank,10 to 14 years old,
2000,Female,West Bank,10 to 17 years old,
2001,Female,West Bank,10 to 17 years old,
2002,Female,West Bank,10 to 17 years old,
2003,Female,West Bank,10 to 17 years old,
2004,Female,West Bank,10 to 17 years old,
2005,Female,West Bank,10 to 17 years old,
2006,Female,West Bank,10 to 17 years old,
2007,Female,West Bank,10 to 17 years old,
2008,Female,West Bank,10 to 17 years old,
2009,Female,West Bank,10 to 17 years old,
2010,Female,West Bank,10 to 17 years old,
2011,Female,West Bank,10 to 17 years old,
2012,Female,West Bank,10 to 17 years old,
2013,Female,West Bank,10 to 17 years old,
2014,Female,West Bank,10 to 17 years old,
2015,Female,West Bank,10 to 17 years old,
2016,Female,West Bank,10 to 17 years old,
2017,Female,West Bank,10 to 17 years old,
2018,Female,West Bank,10 to 17 years old,
2000,Female,West Bank,15 to 17 years old,
2001,Female,West Bank,15 to 17 years old,
2002,Female,West Bank,15 to 17 years old,
2003,Female,West Bank,15 to 17 years old,
2004,Female,West Bank,15 to 17 years old,
2005,Female,West Bank,15 to 17 years old,
2006,Female,West Bank,15 to 17 years old,
2007,Female,West Bank,15 to 17 years old,
2008,Female,West Bank,15 to 17 years old,
2009,Female,West Bank,15 to 17 years old,
2010,Female,West Bank,15 to 17 years old,
2011,Female,West Bank,15 to 17 years old,
2012,Female,West Bank,15 to 17 years old,
2013,Female,West Bank,15 to 17 years old,
2014,Female,West Bank,15 to 17 years old,
2015,Female,West Bank,15 to 17 years old,
2016,Female,West Bank,15 to 17 years old,
2017,Female,West Bank,15 to 17 years old,
2018,Female,West Bank,15 to 17 years old,
2000,Female,Gaza Strip,,
2001,Female,Gaza Strip,,
2002,Female,Gaza Strip,,
2003,Female,Gaza Strip,,
2004,Female,Gaza Strip,,
2005,Female,Gaza Strip,,
2006,Female,Gaza Strip,,
2007,Female,Gaza Strip,,
2008,Female,Gaza Strip,,
2009,Female,Gaza Strip,,
2010,Female,Gaza Strip,,
2011,Female,Gaza Strip,,
2012,Female,Gaza Strip,,
2013,Female,Gaza Strip,,
2014,Female,Gaza Strip,,
2015,Female,Gaza Strip,,
2016,Female,Gaza Strip,,
2017,Female,Gaza Strip,,
2018,Female,Gaza Strip,,
2000,Female,Gaza Strip,10 to 14 years old,
2001,Female,Gaza Strip,10 to 14 years old,
2002,Female,Gaza Strip,10 to 14 years old,
2003,Female,Gaza Strip,10 to 14 years old,
2004,Female,Gaza Strip,10 to 14 years old,
2005,Female,Gaza Strip,10 to 14 years old,
2006,Female,Gaza Strip,10 to 14 years old,
2007,Female,Gaza Strip,10 to 14 years old,
2008,Female,Gaza Strip,10 to 14 years old,
2009,Female,Gaza Strip,10 to 14 years old,
2010,Female,Gaza Strip,10 to 14 years old,
2011,Female,Gaza Strip,10 to 14 years old,
2012,Female,Gaza Strip,10 to 14 years old,
2013,Female,Gaza Strip,10 to 14 years old,
2014,Female,Gaza Strip,10 to 14 years old,
2015,Female,Gaza Strip,10 to 14 years old,
2016,Female,Gaza Strip,10 to 14 years old,
2017,Female,Gaza Strip,10 to 14 years old,
2018,Female,Gaza Strip,10 to 14 years old,
2000,Female,Gaza Strip,10 to 17 years old,
2001,Female,Gaza Strip,10 to 17 years old,
2002,Female,Gaza Strip,10 to 17 years old,
2003,Female,Gaza Strip,10 to 17 years old,
2004,Female,Gaza Strip,10 to 17 years old,
2005,Female,Gaza Strip,10 to 17 years old,
2006,Female,Gaza Strip,10 to 17 years old,
2007,Female,Gaza Strip,10 to 17 years old,
2008,Female,Gaza Strip,10 to 17 years old,
2009,Female,Gaza Strip,10 to 17 years old,
2010,Female,Gaza Strip,10 to 17 years old,
2011,Female,Gaza Strip,10 to 17 years old,
2012,Female,Gaza Strip,10 to 17 years old,
2013,Female,Gaza Strip,10 to 17 years old,
2014,Female,Gaza Strip,10 to 17 years old,
2015,Female,Gaza Strip,10 to 17 years old,
2016,Female,Gaza Strip,10 to 17 years old,
2017,Female,Gaza Strip,10 to 17 years old,
2018,Female,Gaza Strip,10 to 17 years old,
2000,Female,Gaza Strip,15 to 17 years old,
2001,Female,Gaza Strip,15 to 17 years old,
2002,Female,Gaza Strip,15 to 17 years old,
2003,Female,Gaza Strip,15 to 17 years old,
2004,Female,Gaza Strip,15 to 17 years old,
2005,Female,Gaza Strip,15 to 17 years old,
2006,Female,Gaza Strip,15 to 17 years old,
2007,Female,Gaza Strip,15 to 17 years old,
2008,Female,Gaza Strip,15 to 17 years old,
2009,Female,Gaza Strip,15 to 17 years old,
2010,Female,Gaza Strip,15 to 17 years old,
2011,Female,Gaza Strip,15 to 17 years old,
2012,Female,Gaza Strip,15 to 17 years old,
2013,Female,Gaza Strip,15 to 17 years old,
2014,Female,Gaza Strip,15 to 17 years old,
2015,Female,Gaza Strip,15 to 17 years old,
2016,Female,Gaza Strip,15 to 17 years old,
2017,Female,Gaza Strip,15 to 17 years old,
2018,Female,Gaza Strip,15 to 17 years old,
2000,Female,Palestine,,0.7
2001,Female,Palestine,,0.2
2002,Female,Palestine,,0.3
2003,Female,Palestine,,0.6
2004,Female,Palestine,,0.4
2005,Female,Palestine,,0.6
2006,Female,Palestine,,1.4
2007,Female,Palestine,,1.3
2008,Female,Palestine,,1.0
2009,Female,Palestine,,0.8
2010,Female,Palestine,,1.1
2011,Female,Palestine,,0.8
2012,Female,Palestine,,0.6
2013,Female,Palestine,,0.3
2014,Female,Palestine,,0.3
2015,Female,Palestine,,0.4
2016,Female,Palestine,,0.3
2017,Female,Palestine,,0.1
2018,Female,Palestine,,
2000,Female,Palestine,10 to 14 years old,
2001,Female,Palestine,10 to 14 years old,
2002,Female,Palestine,10 to 14 years old,
2003,Female,Palestine,10 to 14 years old,
2004,Female,Palestine,10 to 14 years old,
2005,Female,Palestine,10 to 14 years old,
2006,Female,Palestine,10 to 14 years old,
2007,Female,Palestine,10 to 14 years old,
2008,Female,Palestine,10 to 14 years old,
2009,Female,Palestine,10 to 14 years old,
2010,Female,Palestine,10 to 14 years old,
2011,Female,Palestine,10 to 14 years old,
2012,Female,Palestine,10 to 14 years old,
2013,Female,Palestine,10 to 14 years old,
2014,Female,Palestine,10 to 14 years old,
2015,Female,Palestine,10 to 14 years old,
2016,Female,Palestine,10 to 14 years old,
2017,Female,Palestine,10 to 14 years old,
2018,Female,Palestine,10 to 14 years old,
2000,Female,Palestine,10 to 17 years old,0.7
2001,Female,Palestine,10 to 17 years old,0.2
2002,Female,Palestine,10 to 17 years old,0.3
2003,Female,Palestine,10 to 17 years old,0.6
2004,Female,Palestine,10 to 17 years old,0.4
2005,Female,Palestine,10 to 17 years old,0.6
2006,Female,Palestine,10 to 17 years old,1.4
2007,Female,Palestine,10 to 17 years old,1.3
2008,Female,Palestine,10 to 17 years old,1.0
2009,Female,Palestine,10 to 17 years old,0.8
2010,Female,Palestine,10 to 17 years old,1.1
2011,Female,Palestine,10 to 17 years old,0.8
2012,Female,Palestine,10 to 17 years old,0.6
2013,Female,Palestine,10 to 17 years old,0.3
2014,Female,Palestine,10 to 17 years old,0.3
2015,Female,Palestine,10 to 17 years old,0.4
2016,Female,Palestine,10 to 17 years old,0.3
2017,Female,Palestine,10 to 17 years old,0.1
2018,Female,Palestine,10 to 17 years old,0.2
2000,Female,Palestine,15 to 17 years old,
2001,Female,Palestine,15 to 17 years old,
2002,Female,Palestine,15 to 17 years old,
2003,Female,Palestine,15 to 17 years old,
2004,Female,Palestine,15 to 17 years old,
2005,Female,Palestine,15 to 17 years old,
2006,Female,Palestine,15 to 17 years old,
2007,Female,Palestine,15 to 17 years old,
2008,Female,Palestine,15 to 17 years old,
2009,Female,Palestine,15 to 17 years old,
2010,Female,Palestine,15 to 17 years old,
2011,Female,Palestine,15 to 17 years old,
2012,Female,Palestine,15 to 17 years old,
2013,Female,Palestine,15 to 17 years old,
2014,Female,Palestine,15 to 17 years old,
2015,Female,Palestine,15 to 17 years old,
2016,Female,Palestine,15 to 17 years old,
2017,Female,Palestine,15 to 17 years old,
2018,Female,Palestine,15 to 17 years old,
2000,,West Bank,,5.3
2001,,West Bank,,2.6
2002,,West Bank,,2.0
2003,,West Bank,,3.2
2004,,West Bank,,2.9
2005,,West Bank,,3.8
2006,,West Bank,,6.5
2007,,West Bank,,6.5
2008,,West Bank,,5.2
2009,,West Bank,,5.4
2010,,West Bank,,5.6
2011,,West Bank,,5.7
2012,,West Bank,,5.7
2013,,West Bank,,4.7
2014,,West Bank,,5.2
2015,,West Bank,,5.6
2016,,West Bank,,5.2
2017,,West Bank,,4.6
2018,,West Bank,,
2000,,West Bank,10 to 14 years old,
2001,,West Bank,10 to 14 years old,
2002,,West Bank,10 to 14 years old,
2003,,West Bank,10 to 14 years old,
2004,,West Bank,10 to 14 years old,
2005,,West Bank,10 to 14 years old,
2006,,West Bank,10 to 14 years old,
2007,,West Bank,10 to 14 years old,
2008,,West Bank,10 to 14 years old,
2009,,West Bank,10 to 14 years old,
2010,,West Bank,10 to 14 years old,
2011,,West Bank,10 to 14 years old,
2012,,West Bank,10 to 14 years old,
2013,,West Bank,10 to 14 years old,
2014,,West Bank,10 to 14 years old,
2015,,West Bank,10 to 14 years old,
2016,,West Bank,10 to 14 years old,
2017,,West Bank,10 to 14 years old,
2018,,West Bank,10 to 14 years old,
2000,,West Bank,10 to 17 years old,5.3
2001,,West Bank,10 to 17 years old,2.6
2002,,West Bank,10 to 17 years old,2.0
2003,,West Bank,10 to 17 years old,3.2
2004,,West Bank,10 to 17 years old,2.9
2005,,West Bank,10 to 17 years old,3.8
2006,,West Bank,10 to 17 years old,6.5
2007,,West Bank,10 to 17 years old,6.5
2008,,West Bank,10 to 17 years old,5.2
2009,,West Bank,10 to 17 years old,5.4
2010,,West Bank,10 to 17 years old,5.6
2011,,West Bank,10 to 17 years old,5.7
2012,,West Bank,10 to 17 years old,5.7
2013,,West Bank,10 to 17 years old,4.7
2014,,West Bank,10 to 17 years old,5.2
2015,,West Bank,10 to 17 years old,5.6
2016,,West Bank,10 to 17 years old,5.2
2017,,West Bank,10 to 17 years old,4.6
2018,,West Bank,10 to 17 years old,4.0
2000,,West Bank,15 to 17 years old,
2001,,West Bank,15 to 17 years old,
2002,,West Bank,15 to 17 years old,
2003,,West Bank,15 to 17 years old,
2004,,West Bank,15 to 17 years old,
2005,,West Bank,15 to 17 years old,
2006,,West Bank,15 to 17 years old,
2007,,West Bank,15 to 17 years old,
2008,,West Bank,15 to 17 years old,
2009,,West Bank,15 to 17 years old,
2010,,West Bank,15 to 17 years old,
2011,,West Bank,15 to 17 years old,
2012,,West Bank,15 to 17 years old,
2013,,West Bank,15 to 17 years old,
2014,,West Bank,15 to 17 years old,
2015,,West Bank,15 to 17 years old,
2016,,West Bank,15 to 17 years old,
2017,,West Bank,15 to 17 years old,
2018,,West Bank,15 to 17 years old,
2000,,Gaza Strip,,2.7
2001,,Gaza Strip,,1.5
2002,,Gaza Strip,,1.0
2003,,Gaza Strip,,1.8
2004,,Gaza Strip,,1.3
2005,,Gaza Strip,,1.4
2006,,Gaza Strip,,1.1
2007,,Gaza Strip,,1.5
2008,,Gaza Strip,,1.2
2009,,Gaza Strip,,0.9
2010,,Gaza Strip,,0.5
2011,,Gaza Strip,,1.7
2012,,Gaza Strip,,1.5
2013,,Gaza Strip,,1.4
2014,,Gaza Strip,,1.3
2015,,Gaza Strip,,2.8
2016,,Gaza Strip,,1.9
2017,,Gaza Strip,,1.7
2018,,Gaza Strip,,
2000,,Gaza Strip,10 to 14 years old,
2001,,Gaza Strip,10 to 14 years old,
2002,,Gaza Strip,10 to 14 years old,
2003,,Gaza Strip,10 to 14 years old,
2004,,Gaza Strip,10 to 14 years old,
2005,,Gaza Strip,10 to 14 years old,
2006,,Gaza Strip,10 to 14 years old,
2007,,Gaza Strip,10 to 14 years old,
2008,,Gaza Strip,10 to 14 years old,
2009,,Gaza Strip,10 to 14 years old,
2010,,Gaza Strip,10 to 14 years old,
2011,,Gaza Strip,10 to 14 years old,
2012,,Gaza Strip,10 to 14 years old,
2013,,Gaza Strip,10 to 14 years old,
2014,,Gaza Strip,10 to 14 years old,
2015,,Gaza Strip,10 to 14 years old,
2016,,Gaza Strip,10 to 14 years old,
2017,,Gaza Strip,10 to 14 years old,
2018,,Gaza Strip,10 to 14 years old,
2000,,Gaza Strip,10 to 17 years old,2.7
2001,,Gaza Strip,10 to 17 years old,1.5
2002,,Gaza Strip,10 to 17 years old,1.0
2003,,Gaza Strip,10 to 17 years old,1.8
2004,,Gaza Strip,10 to 17 years old,1.3
2005,,Gaza Strip,10 to 17 years old,1.4
2006,,Gaza Strip,10 to 17 years old,1.1
2007,,Gaza Strip,10 to 17 years old,1.5
2008,,Gaza Strip,10 to 17 years old,1.2
2009,,Gaza Strip,10 to 17 years old,0.9
2010,,Gaza Strip,10 to 17 years old,0.5
2011,,Gaza Strip,10 to 17 years old,1.7
2012,,Gaza Strip,10 to 17 years old,1.5
2013,,Gaza Strip,10 to 17 years old,1.4
2014,,Gaza Strip,10 to 17 years old,1.3
2015,,Gaza Strip,10 to 17 years old,2.8
2016,,Gaza Strip,10 to 17 years old,1.9
2017,,Gaza Strip,10 to 17 years old,1.7
2018,,Gaza Strip,10 to 17 years old,1.3
2000,,Gaza Strip,15 to 17 years old,
2001,,Gaza Strip,15 to 17 years old,
2002,,Gaza Strip,15 to 17 years old,
2003,,Gaza Strip,15 to 17 years old,
2004,,Gaza Strip,15 to 17 years old,
2005,,Gaza Strip,15 to 17 years old,
2006,,Gaza Strip,15 to 17 years old,
2007,,Gaza Strip,15 to 17 years old,
2008,,Gaza Strip,15 to 17 years old,
2009,,Gaza Strip,15 to 17 years old,
2010,,Gaza Strip,15 to 17 years old,
2011,,Gaza Strip,15 to 17 years old,
2012,,Gaza Strip,15 to 17 years old,
2013,,Gaza Strip,15 to 17 years old,
2014,,Gaza Strip,15 to 17 years old,
2015,,Gaza Strip,15 to 17 years old,
2016,,Gaza Strip,15 to 17 years old,
2017,,Gaza Strip,15 to 17 years old,
2018,,Gaza Strip,15 to 17 years old,
2000,,Palestine,,4.3
2001,,Palestine,,2.2
2002,,Palestine,,1.6
2003,,Palestine,,2.7
2004,,Palestine,,2.3
2005,,Palestine,,2.9
2006,,Palestine,,4.4
2007,,Palestine,,4.6
2008,,Palestine,,3.7
2009,,Palestine,,3.6
2010,,Palestine,,3.6
2011,,Palestine,,4.1
2012,,Palestine,,4.0
2013,,Palestine,,3.4
2014,,Palestine,,3.6
2015,,Palestine,,4.5
2016,,Palestine,,3.9
2017,,Palestine,,3.4
2018,,Palestine,,
2000,,Palestine,10 to 14 years old,1.7
2001,,Palestine,10 to 14 years old,0.5
2002,,Palestine,10 to 14 years old,0.5
2003,,Palestine,10 to 14 years old,1.2
2004,,Palestine,10 to 14 years old,1.0
2005,,Palestine,10 to 14 years old,1.3
2006,,Palestine,10 to 14 years old,2.9
2007,,Palestine,10 to 14 years old,3.1
2008,,Palestine,10 to 14 years old,2.3
2009,,Palestine,10 to 14 years old,2.1
2010,,Palestine,10 to 14 years old,2.3
2011,,Palestine,10 to 14 years old,2.2
2012,,Palestine,10 to 14 years old,2.1
2013,,Palestine,10 to 14 years old,1.5
2014,,Palestine,10 to 14 years old,1.6
2015,,Palestine,10 to 14 years old,2.0
2016,,Palestine,10 to 14 years old,1.7
2017,,Palestine,10 to 14 years old,1.2
2018,,Palestine,10 to 14 years old,0.9
2000,,Palestine,10 to 17 years old,4.3
2001,,Palestine,10 to 17 years old,2.2
2002,,Palestine,10 to 17 years old,1.6
2003,,Palestine,10 to 17 years old,2.7
2004,,Palestine,10 to 17 years old,2.3
2005,,Palestine,10 to 17 years old,2.9
2006,,Palestine,10 to 17 years old,4.4
2007,,Palestine,10 to 17 years old,4.6
2008,,Palestine,10 to 17 years old,3.7
2009,,Palestine,10 to 17 years old,3.6
2010,,Palestine,10 to 17 years old,3.6
2011,,Palestine,10 to 17 years old,4.1
2012,,Palestine,10 to 17 years old,4.0
2013,,Palestine,10 to 17 years old,3.4
2014,,Palestine,10 to 17 years old,3.6
2015,,Palestine,10 to 17 years old,4.5
2016,,Palestine,10 to 17 years old,3.9
2017,,Palestine,10 to 17 years old,3.4
2018,,Palestine,10 to 17 years old,2.9
2000,,Palestine,15 to 17 years old,9.9
2001,,Palestine,15 to 17 years old,5.7
2002,,Palestine,15 to 17 years old,3.9
2003,,Palestine,15 to 17 years old,5.6
2004,,Palestine,15 to 17 years old,4.7
2005,,Palestine,15 to 17 years old,5.7
2006,,Palestine,15 to 17 years old,7.3
2007,,Palestine,15 to 17 years old,7.2
2008,,Palestine,15 to 17 years old,6.1
2009,,Palestine,15 to 17 years old,6.4
2010,,Palestine,15 to 17 years old,6.1
2011,,Palestine,15 to 17 years old,7.5
2012,,Palestine,15 to 17 years old,7.7
2013,,Palestine,15 to 17 years old,7.0
2014,,Palestine,15 to 17 years old,7.5
2015,,Palestine,15 to 17 years old,9.0
2016,,Palestine,15 to 17 years old,7.8
2017,,Palestine,15 to 17 years old,7.2
2018,,Palestine,15 to 17 years old,6.6
