Year,SEX,AREA,Series,Value
2011,Male,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.1
2012,Male,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.1
2013,Male,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.1
2014,Male,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.1
2015,Male,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.1
2016,Male,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.1
2017,Male,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.1
2018,Male,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.1
2019,Male,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.1
2020,Male,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.1
2011,Male,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",5.4
2012,Male,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",5.4
2013,Male,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",5.4
2014,Male,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",5.4
2015,Male,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",5.4
2016,Male,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",5.4
2017,Male,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",5.4
2018,Male,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",5.4
2019,Male,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",5.4
2020,Male,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",5.4
2011,Male,Tubas & Northern Valleys,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",16.1
2012,Male,Tubas & Northern Valleys,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",16.1
2013,Male,Tubas & Northern Valleys,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",16.1
2014,Male,Tubas & Northern Valleys,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",16.1
2015,Male,Tubas & Northern Valleys,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",16.1
2016,Male,Tubas & Northern Valleys,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",16.1
2017,Male,Tubas & Northern Valleys,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",16.1
2018,Male,Tubas & Northern Valleys,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",16.1
2019,Male,Tubas & Northern Valleys,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",16.1
2020,Male,Tubas & Northern Valleys,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",16.1
2011,Male,Tulkarm,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",
2012,Male,Tulkarm,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",
2013,Male,Tulkarm,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",
2014,Male,Tulkarm,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",
2015,Male,Tulkarm,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",
2016,Male,Tulkarm,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",
2017,Male,Tulkarm,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",
2018,Male,Tulkarm,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",
2019,Male,Tulkarm,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",
2020,Male,Tulkarm,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",
2011,Female,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.1
2012,Female,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.1
2013,Female,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.1
2014,Female,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.1
2015,Female,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.1
2016,Female,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.1
2017,Female,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.1
2018,Female,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.1
2019,Female,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.1
2020,Female,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.1
2011,Female,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",2.6
2012,Female,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",2.6
2013,Female,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",2.6
2014,Female,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",2.6
2015,Female,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",2.6
2016,Female,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",2.6
2017,Female,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",2.6
2018,Female,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",2.6
2019,Female,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",2.6
2020,Female,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",2.6
2011,Female,Tubas & Northern Valleys,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",8.2
2012,Female,Tubas & Northern Valleys,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",8.2
2013,Female,Tubas & Northern Valleys,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",8.2
2014,Female,Tubas & Northern Valleys,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",8.2
2015,Female,Tubas & Northern Valleys,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",8.2
2016,Female,Tubas & Northern Valleys,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",8.2
2017,Female,Tubas & Northern Valleys,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",8.2
2018,Female,Tubas & Northern Valleys,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",8.2
2019,Female,Tubas & Northern Valleys,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",8.2
2020,Female,Tubas & Northern Valleys,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",8.2
2011,Female,Tulkarm,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",
2012,Female,Tulkarm,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",
2013,Female,Tulkarm,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",
2014,Female,Tulkarm,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",
2015,Female,Tulkarm,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",
2016,Female,Tulkarm,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",
2017,Female,Tulkarm,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",
2018,Female,Tulkarm,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",
2019,Female,Tulkarm,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",
2020,Female,Tulkarm,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",
2011,,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.1
2012,,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.1
2013,,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.1
2014,,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.7
2015,,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",2.6
2016,,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",5.4
2017,,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",7.4
2018,,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",8.2
2019,,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",16.1
2020,,Palestine,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",19.6
2011,,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.7
2012,,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.7
2013,,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.7
2014,,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.7
2015,,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.7
2016,,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.7
2017,,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.7
2018,,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.7
2019,,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.7
2020,,Jenin,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",0.7
2011,,Tubas & Northern Valleys,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",7.4
2012,,Tubas & Northern Valleys,"Installed renewable energy-generating capacity in developing countries (in watts/capita) by SEX, AREA and TIME PERIOD",7.4
