Year,SEX,AREA,Series,Value
2000,Male,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2001,Male,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2002,Male,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2003,Male,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2004,Male,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2005,Male,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2006,Male,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2007,Male,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",74.3
2008,Male,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",76.4
2009,Male,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",68.3
2010,Male,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",61.9
2011,Male,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",56.6
2012,Male,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",54.0
2013,Male,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",53.0
2014,Male,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",54.6
2015,Male,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",54.9
2016,Male,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",53.9
2017,Male,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",51.7
2018,Male,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",55.9
2019,Male,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",55.0
2000,Male,Gaza Strip,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2001,Male,Gaza Strip,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2002,Male,Gaza Strip,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2003,Male,Gaza Strip,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2004,Male,Gaza Strip,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2005,Male,Gaza Strip,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2006,Male,Gaza Strip,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2007,Male,Gaza Strip,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2008,Male,Gaza Strip,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2009,Male,Gaza Strip,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2010,Male,Gaza Strip,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2011,Male,Gaza Strip,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2012,Male,Gaza Strip,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2013,Male,Gaza Strip,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2014,Male,Gaza Strip,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2015,Male,Gaza Strip,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2016,Male,Gaza Strip,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2017,Male,Gaza Strip,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2018,Male,Gaza Strip,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2019,Male,Gaza Strip,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2000,Male,Palestine,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2001,Male,Palestine,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2002,Male,Palestine,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2003,Male,Palestine,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2004,Male,Palestine,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2005,Male,Palestine,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",80.4
2006,Male,Palestine,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",78.9
2007,Male,Palestine,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",74.3
2008,Male,Palestine,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",76.4
2009,Male,Palestine,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",68.3
2010,Male,Palestine,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",61.9
2011,Male,Palestine,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",56.6
2012,Male,Palestine,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",54.0
2013,Male,Palestine,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",53.0
2014,Male,Palestine,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",54.6
2015,Male,Palestine,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",54.9
2016,Male,Palestine,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",53.9
2017,Male,Palestine,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",51.7
2018,Male,Palestine,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2019,Male,Palestine,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2000,Female,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2001,Female,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2002,Female,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2003,Female,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2004,Female,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
2005,Female,West Bank,"Unsentenced detainees as a proportion of overall prison population by SEX, AREA and TIME PERIOD",
