Year,URBANISATION,SEX,AREA,Series,Value
2010,,Male,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,,Male,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,,Male,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,,Male,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,,Male,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,,Male,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,,Male,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",1.6
2013,,Male,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",3.2
2018,,Male,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",2.7
2010,,Female,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,,Female,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,,Female,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,,Female,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,,Female,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,,Female,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,,Female,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",1.9
2013,,Female,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",2.1
2018,,Female,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",1.4
2010,,,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",2.3
2013,,,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",2.8
2018,,,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",1.9
2010,,,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",1.1
2013,,,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",2.4
2018,,,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",2.4
2010,,,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",1.4
2013,,,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",2.6
2018,,,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",2.1
2010,Urban,Male,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
