Year,Series,Value
2000,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD,1
2001,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD,1
2002,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD,1
2003,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD,1
2004,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD,1
2005,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD,1
2006,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD,1
2007,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD,1
2008,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD,1
2009,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD,1
2010,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD,1
2011,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD,1
2012,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD,1
2013,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD,1
2014,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD,1
2015,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD,1
2016,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD,1
2017,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD,1
2018,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD,1
2019,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD,1
