Year,Series,Value
2010,Consumer Food Price Index by TIME PERIOD,-0.6
2011,Consumer Food Price Index by TIME PERIOD,-0.7
2012,Consumer Food Price Index by TIME PERIOD,-0.7
2013,Consumer Food Price Index by TIME PERIOD,-0.5
2014,Consumer Food Price Index by TIME PERIOD,-0.8
2015,Consumer Food Price Index by TIME PERIOD,0.2
2016,Consumer Food Price Index by TIME PERIOD,-0.7
2017,Consumer Food Price Index by TIME PERIOD,-0.5
2018,Consumer Food Price Index by TIME PERIOD,-0.1
2019,Consumer Food Price Index by TIME PERIOD,0.6
2015,Indicator of Food Price Anomalies (IFPA) for Rice by TIME PERIOD,-0.1
2016,Indicator of Food Price Anomalies (IFPA) for Rice by TIME PERIOD,-0.1
2017,Indicator of Food Price Anomalies (IFPA) for Rice by TIME PERIOD,-0.2
2018,Indicator of Food Price Anomalies (IFPA) for Rice by TIME PERIOD,-0.1
2019,Indicator of Food Price Anomalies (IFPA) for Rice by TIME PERIOD,-0.1
2020,Indicator of Food Price Anomalies (IFPA) for Rice by TIME PERIOD,-0.05
2015,Indicator of Food Price Anomalies (IFPA) for Wheat by TIME PERIOD,0.3
2016,Indicator of Food Price Anomalies (IFPA) for Wheat by TIME PERIOD,-0.1
2017,Indicator of Food Price Anomalies (IFPA) for Wheat by TIME PERIOD,0.2
2018,Indicator of Food Price Anomalies (IFPA) for Wheat by TIME PERIOD,0.3
2019,Indicator of Food Price Anomalies (IFPA) for Wheat by TIME PERIOD,0.4
2020,Indicator of Food Price Anomalies (IFPA) for Wheat by TIME PERIOD,0.46
