Year,SEX,AREA,Series,Value
2000,Male,West Bank,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",
2004,Male,West Bank,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",
2006,Male,West Bank,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",
2009,Male,West Bank,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",
2011,Male,West Bank,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",
2014,Male,West Bank,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",
2018,Male,West Bank,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",
2019,Male,West Bank,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",
2000,Male,Gaza Strip,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",
2004,Male,Gaza Strip,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",
2006,Male,Gaza Strip,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",
2009,Male,Gaza Strip,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",
2011,Male,Gaza Strip,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",
2014,Male,Gaza Strip,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",
2018,Male,Gaza Strip,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",
2019,Male,Gaza Strip,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",
2000,Male,Palestine,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",36.0
2004,Male,Palestine,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",45.1
2006,Male,Palestine,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",52.7
2009,Male,Palestine,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",66.7
2011,Male,Palestine,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",76.5
2014,Male,Palestine,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",81.8
2018,Male,Palestine,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",93.9
2019,Male,Palestine,"Proportion of individuals who own a mobile telephone, by sex by SEX, AREA and TIME PERIOD",79.2
