Year,URBANISATION,SEX,AREA,Value
2019,Total,Male,West Bank,
2019,Total,Male,Gaza Strip,
2019,Total,Male,Palestine,3.5
2019,Total,Female,West Bank,
2019,Total,Female,Gaza Strip,
2019,Total,Female,Palestine,1.8
2019,Total,Both sexes or no breakdown by sex,West Bank,3.3
2019,Total,Both sexes or no breakdown by sex,Gaza Strip,2.1
2019,Total,Both sexes or no breakdown by sex,Palestine,2.9
2019,Urban,Male,West Bank,
2019,Urban,Male,Gaza Strip,
2019,Urban,Male,Palestine,
2019,Urban,Female,West Bank,
2019,Urban,Female,Gaza Strip,
2019,Urban,Female,Palestine,
2019,Urban,Both sexes or no breakdown by sex,West Bank,
2019,Urban,Both sexes or no breakdown by sex,Gaza Strip,
2019,Urban,Both sexes or no breakdown by sex,Palestine,2.6
2019,Rural,Male,West Bank,
2019,Rural,Male,Gaza Strip,
2019,Rural,Male,Palestine,
2019,Rural,Female,West Bank,
2019,Rural,Female,Gaza Strip,
2019,Rural,Female,Palestine,
2019,Rural,Both sexes or no breakdown by sex,West Bank,
2019,Rural,Both sexes or no breakdown by sex,Gaza Strip,
2019,Rural,Both sexes or no breakdown by sex,Palestine,3.8
2019,Camp,Male,West Bank,
2019,Camp,Male,Gaza Strip,
2019,Camp,Male,Palestine,
2019,Camp,Female,West Bank,
2019,Camp,Female,Gaza Strip,
2019,Camp,Female,Palestine,
2019,Camp,Both sexes or no breakdown by sex,West Bank,
2019,Camp,Both sexes or no breakdown by sex,Gaza Strip,
2019,Camp,Both sexes or no breakdown by sex,Palestine,3.7
