Year,AREA,Series,Value
2000,West Bank,Proportion of births attended by skilled health personnel (%) by AREA and TIME PERIOD,96.4
2010,West Bank,Proportion of births attended by skilled health personnel (%) by AREA and TIME PERIOD,98.6
2014,West Bank,Proportion of births attended by skilled health personnel (%) by AREA and TIME PERIOD,99.6
2019,West Bank,Proportion of births attended by skilled health personnel (%) by AREA and TIME PERIOD,99.4
2000,Gaza Strip,Proportion of births attended by skilled health personnel (%) by AREA and TIME PERIOD,98.9
2010,Gaza Strip,Proportion of births attended by skilled health personnel (%) by AREA and TIME PERIOD,99.7
2014,Gaza Strip,Proportion of births attended by skilled health personnel (%) by AREA and TIME PERIOD,99.5
2019,Gaza Strip,Proportion of births attended by skilled health personnel (%) by AREA and TIME PERIOD,100.0
2000,Palestine,Proportion of births attended by skilled health personnel (%) by AREA and TIME PERIOD,97.4
2010,Palestine,Proportion of births attended by skilled health personnel (%) by AREA and TIME PERIOD,99.0
2014,Palestine,Proportion of births attended by skilled health personnel (%) by AREA and TIME PERIOD,99.6
2019,Palestine,Proportion of births attended by skilled health personnel (%) by AREA and TIME PERIOD,99.7
