Year,SEX,AREA,Series,Value
2006,Male,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2620.3
2007,Male,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2620.3
2008,Male,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2620.3
2009,Male,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2620.3
2010,Male,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2620.3
2011,Male,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2620.3
2012,Male,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2620.3
2013,Male,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2620.3
2014,Male,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2620.3
2015,Male,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2620.3
2016,Male,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2620.3
2017,Male,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2620.3
2018,Male,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2620.3
2006,Male,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3226.3
2007,Male,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3226.3
2008,Male,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3226.3
2009,Male,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3226.3
2010,Male,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3226.3
2011,Male,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3226.3
2012,Male,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3226.3
2013,Male,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3226.3
2014,Male,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3226.3
2015,Male,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3226.3
2016,Male,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3226.3
2017,Male,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3226.3
2018,Male,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3226.3
2006,Male,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4614.9
2007,Male,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4614.9
2008,Male,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4614.9
2009,Male,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4614.9
2010,Male,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4614.9
2011,Male,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4614.9
2012,Male,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4614.9
2013,Male,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4614.9
2014,Male,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4614.9
2015,Male,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4614.9
2016,Male,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4614.9
2017,Male,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4614.9
2018,Male,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4614.9
2006,Male,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4777.2
2007,Male,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4777.2
2008,Male,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4777.2
2009,Male,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4777.2
2010,Male,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4777.2
2011,Male,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4777.2
2012,Male,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4777.2
2013,Male,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4777.2
2014,Male,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4777.2
2015,Male,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4777.2
2016,Male,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4777.2
2017,Male,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4777.2
2018,Male,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4777.2
2006,Male,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2007,Male,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2008,Male,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2009,Male,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2010,Male,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2011,Male,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2012,Male,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2013,Male,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2014,Male,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2015,Male,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2016,Male,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2017,Male,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2018,Male,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2006,Female,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2710.7
2007,Female,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2710.7
2008,Female,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2710.7
2009,Female,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2710.7
2010,Female,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2710.7
2011,Female,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2710.7
2012,Female,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2710.7
2013,Female,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2710.7
2014,Female,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2710.7
2015,Female,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2710.7
2016,Female,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2710.7
2017,Female,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2710.7
2018,Female,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2710.7
2006,Female,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3276.5
2007,Female,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3276.5
2008,Female,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3276.5
2009,Female,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3276.5
2010,Female,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3276.5
2011,Female,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3276.5
2012,Female,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3276.5
2013,Female,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3276.5
2014,Female,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3276.5
2015,Female,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3276.5
2016,Female,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3276.5
2017,Female,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3276.5
2018,Female,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3276.5
2006,Female,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3612.0
2007,Female,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3612.0
2008,Female,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3612.0
2009,Female,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3612.0
2010,Female,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3612.0
2011,Female,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3612.0
2012,Female,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3612.0
2013,Female,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3612.0
2014,Female,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3612.0
2015,Female,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3612.0
