Year,Series,Value
2010,Total government revenue as a proportion of GDP by TIME PERIOD,36.8
2011,Total government revenue as a proportion of GDP by TIME PERIOD,30.0
2012,Total government revenue as a proportion of GDP by TIME PERIOD,26.2
2013,Total government revenue as a proportion of GDP by TIME PERIOD,29.2
2014,Total government revenue as a proportion of GDP by TIME PERIOD,31.7
2015,Total government revenue as a proportion of GDP by TIME PERIOD,29.4
2016,Total government revenue as a proportion of GDP by TIME PERIOD,32.0
2017,Total government revenue as a proportion of GDP by TIME PERIOD,30.0
2018,Total government revenue as a proportion of GDP by TIME PERIOD,27.7
2019,Total government revenue as a proportion of GDP by TIME PERIOD,23.7
