Year,SEX,AREA,Value
2000,Male,West Bank,
2004,Male,West Bank,
2006,Male,West Bank,
2009,Male,West Bank,
2011,Male,West Bank,
2014,Male,West Bank,
2018,Male,West Bank,
2000,Male,Gaza Strip,
2004,Male,Gaza Strip,
2006,Male,Gaza Strip,
2009,Male,Gaza Strip,
2011,Male,Gaza Strip,
2014,Male,Gaza Strip,
2018,Male,Gaza Strip,
2000,Male,Palestine,7.9
2004,Male,Palestine,16.2
2006,Male,Palestine,23.6
2009,Male,Palestine,38.2
2011,Male,Palestine,44.6
2014,Male,Palestine,59.6
2018,Male,Palestine,68.4
2000,Female,West Bank,
2004,Female,West Bank,
2006,Female,West Bank,
2009,Female,West Bank,
2011,Female,West Bank,
2014,Female,West Bank,
2018,Female,West Bank,
2000,Female,Gaza Strip,
2004,Female,Gaza Strip,
2006,Female,Gaza Strip,
2009,Female,Gaza Strip,
2011,Female,Gaza Strip,
2014,Female,Gaza Strip,
2018,Female,Gaza Strip,
2000,Female,Palestine,2.8
2004,Female,Palestine,7.5
2006,Female,Palestine,13.1
2009,Female,Palestine,26.2
2011,Female,Palestine,34.4
2014,Female,Palestine,47.5
2018,Female,Palestine,60.3
2000,Both sexes or no breakdown by sex,West Bank,5.7
2004,Both sexes or no breakdown by sex,West Bank,12.3
2006,Both sexes or no breakdown by sex,West Bank,18.9
2009,Both sexes or no breakdown by sex,West Bank,32.7
2011,Both sexes or no breakdown by sex,West Bank,40.0
2014,Both sexes or no breakdown by sex,West Bank,54.5
2018,Both sexes or no breakdown by sex,West Bank,69.1
2000,Both sexes or no breakdown by sex,Gaza Strip,4.7
2004,Both sexes or no breakdown by sex,Gaza Strip,11.1
2006,Both sexes or no breakdown by sex,Gaza Strip,17.6
2009,Both sexes or no breakdown by sex,Gaza Strip,31.5
2011,Both sexes or no breakdown by sex,Gaza Strip,38.8
2014,Both sexes or no breakdown by sex,Gaza Strip,52.2
2018,Both sexes or no breakdown by sex,Gaza Strip,56.6
2000,Both sexes or no breakdown by sex,Palestine,5.4
2004,Both sexes or no breakdown by sex,Palestine,11.9
2006,Both sexes or no breakdown by sex,Palestine,18.4
2009,Both sexes or no breakdown by sex,Palestine,32.3
2011,Both sexes or no breakdown by sex,Palestine,39.6
2014,Both sexes or no breakdown by sex,Palestine,53.7
2018,Both sexes or no breakdown by sex,Palestine,64.5
