Year,SEX,AREA,OCCUPATION,Value
2000,Male,West Bank,Total or no breakdown by Occupation,
2001,Male,West Bank,Total or no breakdown by Occupation,
2002,Male,West Bank,Total or no breakdown by Occupation,
2003,Male,West Bank,Total or no breakdown by Occupation,
2004,Male,West Bank,Total or no breakdown by Occupation,
2005,Male,West Bank,Total or no breakdown by Occupation,
2006,Male,West Bank,Total or no breakdown by Occupation,
2007,Male,West Bank,Total or no breakdown by Occupation,
2008,Male,West Bank,Total or no breakdown by Occupation,
2009,Male,West Bank,Total or no breakdown by Occupation,
2010,Male,West Bank,Total or no breakdown by Occupation,
2011,Male,West Bank,Total or no breakdown by Occupation,
2012,Male,West Bank,Total or no breakdown by Occupation,
2013,Male,West Bank,Total or no breakdown by Occupation,
2014,Male,West Bank,Total or no breakdown by Occupation,
2015,Male,West Bank,Total or no breakdown by Occupation,
2016,Male,West Bank,Total or no breakdown by Occupation,
2017,Male,West Bank,Total or no breakdown by Occupation,
2018,Male,West Bank,Total or no breakdown by Occupation,
2019,Male,West Bank,Total or no breakdown by Occupation,
2020,Male,West Bank,Total or no breakdown by Occupation,
2021,Male,West Bank,Total or no breakdown by Occupation,
2000,Male,West Bank,Technicians and associate professionals,
2001,Male,West Bank,Technicians and associate professionals,
2002,Male,West Bank,Technicians and associate professionals,
2003,Male,West Bank,Technicians and associate professionals,
2004,Male,West Bank,Technicians and associate professionals,
2005,Male,West Bank,Technicians and associate professionals,
2006,Male,West Bank,Technicians and associate professionals,
2007,Male,West Bank,Technicians and associate professionals,
2008,Male,West Bank,Technicians and associate professionals,
2009,Male,West Bank,Technicians and associate professionals,
2010,Male,West Bank,Technicians and associate professionals,
2011,Male,West Bank,Technicians and associate professionals,
2012,Male,West Bank,Technicians and associate professionals,
2013,Male,West Bank,Technicians and associate professionals,
2014,Male,West Bank,Technicians and associate professionals,
2015,Male,West Bank,Technicians and associate professionals,
2016,Male,West Bank,Technicians and associate professionals,
