Year,AREA,Series,Value
2007,West Bank,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.9
2014,West Bank,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.7
2017,West Bank,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.3
2019,West Bank,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.3
2007,Gaza Strip,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,1.1
2014,Gaza Strip,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,1.3
2017,Gaza Strip,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.7
2019,Gaza Strip,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,1.4
2007,Palestine,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,1.0
2014,Palestine,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,1.0
2017,Palestine,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.5
2019,Palestine,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.7
2007,Jenin,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.8
2014,Jenin,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,
2017,Jenin,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.2
2019,Jenin,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,
2007,Tubas & Northern Valleys,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.6
2014,Tubas & Northern Valleys,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,
2017,Tubas & Northern Valleys,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.3
2019,Tubas & Northern Valleys,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,
2007,Tulkarm,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.6
2014,Tulkarm,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,
2017,Tulkarm,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.2
2019,Tulkarm,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,
2007,Nablus,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,1.0
2014,Nablus,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,
2017,Nablus,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.3
2019,Nablus,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,
2007,Qalqiliya,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,1.0
2014,Qalqiliya,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,
2017,Qalqiliya,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.3
2019,Qalqiliya,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,
2007,Salfit,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,1.1
2014,Salfit,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,
2017,Salfit,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.4
2019,Salfit,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,
2007,Ramallah & Al-Bireh,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.5
2014,Ramallah & Al-Bireh,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,
2017,Ramallah & Al-Bireh,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.2
2019,Ramallah & Al-Bireh,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,
2007,Jericho & AL Aghwar,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.6
2014,Jericho & AL Aghwar,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,
2017,Jericho & AL Aghwar,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.7
2019,Jericho & AL Aghwar,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,
2007,Jerusalem,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.8
2014,Jerusalem,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,
2017,Jerusalem,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.1
2019,Jerusalem,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,
2007,Bethlehem,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.8
2014,Bethlehem,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,
2017,Bethlehem,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.3
2019,Bethlehem,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,
2007,Hebron,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,1.3
2014,Hebron,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,
2017,Hebron,Proportion of women aged 20-24 years who were married before age 15 (%) by AREA and TIME PERIOD,0.5
