Year,SEX,AREA,Series,Value
2000,Male,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2001,Male,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2002,Male,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2003,Male,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2004,Male,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2005,Male,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2006,Male,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2007,Male,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2008,Male,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2009,Male,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2010,Male,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2011,Male,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2012,Male,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2013,Male,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2014,Male,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2015,Male,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2016,Male,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2017,Male,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2018,Male,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2019,Male,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2020,Male,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",77.8
2000,Male,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2001,Male,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2002,Male,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2003,Male,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2004,Male,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2005,Male,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2006,Male,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2007,Male,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2008,Male,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2009,Male,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2010,Male,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2011,Male,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2012,Male,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2013,Male,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2014,Male,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2015,Male,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2016,Male,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2017,Male,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2018,Male,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2019,Male,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2020,Male,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2000,Male,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",76.9
2001,Male,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",77.0
2002,Male,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",80.3
2003,Male,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",76.3
2004,Male,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",79.9
2005,Male,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",78.0
2006,Male,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",78.9
2007,Male,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",81.6
2008,Male,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",81.0
2009,Male,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",77.0
2010,Male,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",78.3
2011,Male,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",77.2
2012,Male,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",84.6
2013,Male,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",83.8
2014,Male,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",83.4
2015,Male,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",83.7
2016,Male,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",80.6
2017,Male,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",84.3
2018,Male,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",82.6
2019,Male,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",79.8
2020,Male,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2000,Female,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2001,Female,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2002,Female,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2003,Female,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2004,Female,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2005,Female,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2006,Female,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2007,Female,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2008,Female,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2009,Female,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2010,Female,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2011,Female,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2012,Female,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2013,Female,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2014,Female,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2015,Female,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2016,Female,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2017,Female,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2018,Female,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2019,Female,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2020,Female,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",22.2
2000,Female,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2001,Female,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2002,Female,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2003,Female,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2004,Female,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2005,Female,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2006,Female,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2007,Female,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2008,Female,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2009,Female,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2010,Female,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2011,Female,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2012,Female,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2013,Female,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2014,Female,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2015,Female,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2016,Female,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2017,Female,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2018,Female,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2019,Female,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2020,Female,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2000,Female,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",23.1
2001,Female,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",23.0
2002,Female,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",19.7
2003,Female,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",23.7
2004,Female,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",20.1
2005,Female,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",22.0
2006,Female,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",21.1
2007,Female,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",18.4
2008,Female,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",19.0
2009,Female,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",23.0
2010,Female,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",21.7
