Year,SEX,AREA,Value
2009,Male,West Bank,
2010,Male,West Bank,
2011,Male,West Bank,
2017,Male,West Bank,
2009,Male,Gaza Strip,
2010,Male,Gaza Strip,
2011,Male,Gaza Strip,
2017,Male,Gaza Strip,
2009,Male,Palestine,26.1
2010,Male,Palestine,25.3
2011,Male,Palestine,25.5
2017,Male,Palestine,28.8
2009,Male,Jenin,
2010,Male,Jenin,
2011,Male,Jenin,
2017,Male,Jenin,
2009,Male,Tubas & Northern Valleys,
2010,Male,Tubas & Northern Valleys,
2011,Male,Tubas & Northern Valleys,
2017,Male,Tubas & Northern Valleys,
2009,Male,Tulkarm,
2010,Male,Tulkarm,
2011,Male,Tulkarm,
2017,Male,Tulkarm,
2009,Male,Nablus,
2010,Male,Nablus,
2011,Male,Nablus,
2017,Male,Nablus,
2009,Male,Qalqiliya,
2010,Male,Qalqiliya,
2011,Male,Qalqiliya,
2017,Male,Qalqiliya,
2009,Male,Salfit,
2010,Male,Salfit,
2011,Male,Salfit,
2017,Male,Salfit,
2009,Male,Ramallah & Al-Bireh,
2010,Male,Ramallah & Al-Bireh,
2011,Male,Ramallah & Al-Bireh,
2017,Male,Ramallah & Al-Bireh,
2009,Male,Jericho & AL Aghwar,
2010,Male,Jericho & AL Aghwar,
2011,Male,Jericho & AL Aghwar,
2017,Male,Jericho & AL Aghwar,
2009,Male,Bethlehem,
2010,Male,Bethlehem,
2011,Male,Bethlehem,
2017,Male,Bethlehem,
2009,Male,Hebron,
2010,Male,Hebron,
2011,Male,Hebron,
2017,Male,Hebron,
2009,Male,North Gaza,
2010,Male,North Gaza,
2011,Male,North Gaza,
2017,Male,North Gaza,
2009,Male,Gaza,
2010,Male,Gaza,
2011,Male,Gaza,
2017,Male,Gaza,
2009,Male,Dier Al-Balah,
2010,Male,Dier Al-Balah,
2011,Male,Dier Al-Balah,
2017,Male,Dier Al-Balah,
2009,Male,Khan Yunis,
2010,Male,Khan Yunis,
2011,Male,Khan Yunis,
2017,Male,Khan Yunis,
2009,Male,Rafah,
2010,Male,Rafah,
2011,Male,Rafah,
2017,Male,Rafah,
2009,Female,West Bank,
2010,Female,West Bank,
2011,Female,West Bank,
2017,Female,West Bank,
2009,Female,Gaza Strip,
2010,Female,Gaza Strip,
2011,Female,Gaza Strip,
2017,Female,Gaza Strip,
2009,Female,Palestine,26.4
2010,Female,Palestine,26.2
2011,Female,Palestine,26.2
2017,Female,Palestine,29.7
2009,Female,Jenin,
2010,Female,Jenin,
2011,Female,Jenin,
2017,Female,Jenin,
2009,Female,Tubas & Northern Valleys,
2010,Female,Tubas & Northern Valleys,
2011,Female,Tubas & Northern Valleys,
2017,Female,Tubas & Northern Valleys,
2009,Female,Tulkarm,
2010,Female,Tulkarm,
2011,Female,Tulkarm,
2017,Female,Tulkarm,
2009,Female,Nablus,
2010,Female,Nablus,
2011,Female,Nablus,
2017,Female,Nablus,
2009,Female,Qalqiliya,
2010,Female,Qalqiliya,
2011,Female,Qalqiliya,
2017,Female,Qalqiliya,
2009,Female,Salfit,
2010,Female,Salfit,
2011,Female,Salfit,
2017,Female,Salfit,
2009,Female,Ramallah & Al-Bireh,
2010,Female,Ramallah & Al-Bireh,
2011,Female,Ramallah & Al-Bireh,
2017,Female,Ramallah & Al-Bireh,
2009,Female,Jericho & AL Aghwar,
2010,Female,Jericho & AL Aghwar,
2011,Female,Jericho & AL Aghwar,
2017,Female,Jericho & AL Aghwar,
2009,Female,Bethlehem,
2010,Female,Bethlehem,
2011,Female,Bethlehem,
2017,Female,Bethlehem,
2009,Female,Hebron,
2010,Female,Hebron,
2011,Female,Hebron,
2017,Female,Hebron,
2009,Female,North Gaza,
2010,Female,North Gaza,
2011,Female,North Gaza,
2017,Female,North Gaza,
2009,Female,Gaza,
2010,Female,Gaza,
2011,Female,Gaza,
2017,Female,Gaza,
2009,Female,Dier Al-Balah,
2010,Female,Dier Al-Balah,
2011,Female,Dier Al-Balah,
2017,Female,Dier Al-Balah,
2009,Female,Khan Yunis,
2010,Female,Khan Yunis,
2011,Female,Khan Yunis,
2017,Female,Khan Yunis,
2009,Female,Rafah,
2010,Female,Rafah,
2011,Female,Rafah,
2017,Female,Rafah,
2009,Both sexes or no breakdown by sex,West Bank,19.4
2010,Both sexes or no breakdown by sex,West Bank,18.3
2011,Both sexes or no breakdown by sex,West Bank,17.8
2017,Both sexes or no breakdown by sex,West Bank,13.9
2009,Both sexes or no breakdown by sex,Gaza Strip,38.3
2010,Both sexes or no breakdown by sex,Gaza Strip,38.0
2011,Both sexes or no breakdown by sex,Gaza Strip,38.8
2017,Both sexes or no breakdown by sex,Gaza Strip,53.0
2009,Both sexes or no breakdown by sex,Palestine,26.2
2010,Both sexes or no breakdown by sex,Palestine,25.7
2011,Both sexes or no breakdown by sex,Palestine,25.8
2017,Both sexes or no breakdown by sex,Palestine,29.2
2009,Both sexes or no breakdown by sex,Jenin,
2010,Both sexes or no breakdown by sex,Jenin,
2011,Both sexes or no breakdown by sex,Jenin,
2017,Both sexes or no breakdown by sex,Jenin,11.4
2009,Both sexes or no breakdown by sex,Tubas & Northern Valleys,
2010,Both sexes or no breakdown by sex,Tubas & Northern Valleys,
2011,Both sexes or no breakdown by sex,Tubas & Northern Valleys,
2017,Both sexes or no breakdown by sex,Tubas & Northern Valleys,15.4
