Year,AREA,Series,Value
2015,West Bank,"Prevalence of hepatitis B surface antigen (HBsAg) per 100,000 population by AREA and TIME PERIOD",0.58
2016,West Bank,"Prevalence of hepatitis B surface antigen (HBsAg) per 100,000 population by AREA and TIME PERIOD",0.78
2017,West Bank,"Prevalence of hepatitis B surface antigen (HBsAg) per 100,000 population by AREA and TIME PERIOD",0.5
2018,West Bank,"Prevalence of hepatitis B surface antigen (HBsAg) per 100,000 population by AREA and TIME PERIOD",1.02
2019,West Bank,"Prevalence of hepatitis B surface antigen (HBsAg) per 100,000 population by AREA and TIME PERIOD",0.59
2020,West Bank,"Prevalence of hepatitis B surface antigen (HBsAg) per 100,000 population by AREA and TIME PERIOD",0.54
2015,Gaza Strip,"Prevalence of hepatitis B surface antigen (HBsAg) per 100,000 population by AREA and TIME PERIOD",0.39
2016,Gaza Strip,"Prevalence of hepatitis B surface antigen (HBsAg) per 100,000 population by AREA and TIME PERIOD",0.05
2017,Gaza Strip,"Prevalence of hepatitis B surface antigen (HBsAg) per 100,000 population by AREA and TIME PERIOD",0.3
2018,Gaza Strip,"Prevalence of hepatitis B surface antigen (HBsAg) per 100,000 population by AREA and TIME PERIOD",0.02
2019,Gaza Strip,"Prevalence of hepatitis B surface antigen (HBsAg) per 100,000 population by AREA and TIME PERIOD",0.0
2020,Gaza Strip,"Prevalence of hepatitis B surface antigen (HBsAg) per 100,000 population by AREA and TIME PERIOD",0.15
2015,Palestine,"Prevalence of hepatitis B surface antigen (HBsAg) per 100,000 population by AREA and TIME PERIOD",0.51
2016,Palestine,"Prevalence of hepatitis B surface antigen (HBsAg) per 100,000 population by AREA and TIME PERIOD",0.5
2017,Palestine,"Prevalence of hepatitis B surface antigen (HBsAg) per 100,000 population by AREA and TIME PERIOD",0.45
2018,Palestine,"Prevalence of hepatitis B surface antigen (HBsAg) per 100,000 population by AREA and TIME PERIOD",0.68
2019,Palestine,"Prevalence of hepatitis B surface antigen (HBsAg) per 100,000 population by AREA and TIME PERIOD",0.34
2020,Palestine,"Prevalence of hepatitis B surface antigen (HBsAg) per 100,000 population by AREA and TIME PERIOD",0.37
