Year,SEX,AREA,Value
2011,Male,West Bank,93.3
2012,Male,West Bank,88.2
2013,Male,West Bank,99.0
2014,Male,West Bank,94.0
2015,Male,West Bank,95.6
2019,Male,West Bank,
2011,Male,Gaza Strip,
2012,Male,Gaza Strip,
2013,Male,Gaza Strip,
2014,Male,Gaza Strip,
2015,Male,Gaza Strip,91.2
2019,Male,Gaza Strip,
2011,Male,Palestine,
2012,Male,Palestine,
2013,Male,Palestine,
2014,Male,Palestine,99.3
2015,Male,Palestine,93.6
2019,Male,Palestine,99.4
2011,Female,West Bank,91.3
2012,Female,West Bank,87.3
2013,Female,West Bank,98.9
2014,Female,West Bank,91.9
2015,Female,West Bank,94.1
2019,Female,West Bank,
2011,Female,Gaza Strip,
2012,Female,Gaza Strip,
2013,Female,Gaza Strip,
2014,Female,Gaza Strip,
2015,Female,Gaza Strip,89.2
2019,Female,Gaza Strip,
2011,Female,Palestine,
2012,Female,Palestine,
2013,Female,Palestine,
2014,Female,Palestine,99.3
2015,Female,Palestine,91.9
2019,Female,Palestine,98.9
2011,Both sexes or no breakdown by sex,West Bank,92.3
2012,Both sexes or no breakdown by sex,West Bank,87.7
2013,Both sexes or no breakdown by sex,West Bank,99.0
2014,Both sexes or no breakdown by sex,West Bank,99.1
2015,Both sexes or no breakdown by sex,West Bank,94.9
2019,Both sexes or no breakdown by sex,West Bank,98.9
2011,Both sexes or no breakdown by sex,Gaza Strip,
2012,Both sexes or no breakdown by sex,Gaza Strip,
2013,Both sexes or no breakdown by sex,Gaza Strip,
2014,Both sexes or no breakdown by sex,Gaza Strip,99.6
2015,Both sexes or no breakdown by sex,Gaza Strip,90.2
2019,Both sexes or no breakdown by sex,Gaza Strip,99.5
2011,Both sexes or no breakdown by sex,Palestine,
2012,Both sexes or no breakdown by sex,Palestine,
2013,Both sexes or no breakdown by sex,Palestine,
2014,Both sexes or no breakdown by sex,Palestine,99.3
2015,Both sexes or no breakdown by sex,Palestine,92.8
2019,Both sexes or no breakdown by sex,Palestine,99.2
