Year,AREA,AGE,Series,Value
2019,West Bank,,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence by AREA, AGE and TIME PERIOD",4.3
2019,West Bank,15 to 19 years old,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence by AREA, AGE and TIME PERIOD",
2019,West Bank,20 to 29 years old,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence by AREA, AGE and TIME PERIOD",
2019,West Bank,30 to 39 years old,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence by AREA, AGE and TIME PERIOD",
2019,West Bank,40 to 49 years old,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence by AREA, AGE and TIME PERIOD",
2019,West Bank,50 to 59 years old,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence by AREA, AGE and TIME PERIOD",
2019,West Bank,60 to 64 years old,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence by AREA, AGE and TIME PERIOD",
2019,Gaza Strip,,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence by AREA, AGE and TIME PERIOD",2.8
2019,Gaza Strip,15 to 19 years old,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence by AREA, AGE and TIME PERIOD",
2019,Gaza Strip,20 to 29 years old,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence by AREA, AGE and TIME PERIOD",
2019,Gaza Strip,30 to 39 years old,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence by AREA, AGE and TIME PERIOD",
2019,Gaza Strip,40 to 49 years old,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence by AREA, AGE and TIME PERIOD",
2019,Gaza Strip,50 to 59 years old,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence by AREA, AGE and TIME PERIOD",
2019,Gaza Strip,60 to 64 years old,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence by AREA, AGE and TIME PERIOD",
2019,Palestine,,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence by AREA, AGE and TIME PERIOD",3.7
2019,Palestine,15 to 19 years old,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence by AREA, AGE and TIME PERIOD",2.8
2019,Palestine,20 to 29 years old,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence by AREA, AGE and TIME PERIOD",4.0
2019,Palestine,30 to 39 years old,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence by AREA, AGE and TIME PERIOD",3.4
2019,Palestine,40 to 49 years old,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence by AREA, AGE and TIME PERIOD",4.1
2019,Palestine,50 to 59 years old,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence by AREA, AGE and TIME PERIOD",4.2
2019,Palestine,60 to 64 years old,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence by AREA, AGE and TIME PERIOD",1.6
