Year,SEX,AREA,Value
2000,Male,West Bank,
2004,Male,West Bank,
2006,Male,West Bank,
2010,Male,West Bank,
2019,Male,West Bank,
2020,Male,West Bank,
2000,Male,Gaza Strip,
2004,Male,Gaza Strip,
2006,Male,Gaza Strip,
2010,Male,Gaza Strip,
2019,Male,Gaza Strip,
2020,Male,Gaza Strip,
2000,Male,Palestine,46.2
2004,Male,Palestine,41.8
2006,Male,Palestine,42.2
2010,Male,Palestine,36.5
2019,Male,Palestine,51.2
2020,Male,Palestine,41.2
2000,Female,West Bank,
2004,Female,West Bank,
2006,Female,West Bank,
2010,Female,West Bank,
2019,Female,West Bank,
2020,Female,West Bank,
2000,Female,Gaza Strip,
2004,Female,Gaza Strip,
2006,Female,Gaza Strip,
2010,Female,Gaza Strip,
2019,Female,Gaza Strip,
2020,Female,Gaza Strip,
2000,Female,Palestine,3.5
2004,Female,Palestine,2.4
2006,Female,Palestine,2.4
2010,Female,Palestine,1.9
2019,Female,Palestine,7.3
2020,Female,Palestine,6.9
2000,Both sexes or no breakdown by sex,West Bank,26.8
2004,Both sexes or no breakdown by sex,West Bank,24.8
2006,Both sexes or no breakdown by sex,West Bank,25.4
2010,Both sexes or no breakdown by sex,West Bank,23.7
2019,Both sexes or no breakdown by sex,West Bank,36.2
2020,Both sexes or no breakdown by sex,West Bank,31.0
2000,Both sexes or no breakdown by sex,Gaza Strip,21.3
2004,Both sexes or no breakdown by sex,Gaza Strip,17.5
2006,Both sexes or no breakdown by sex,Gaza Strip,17.2
2010,Both sexes or no breakdown by sex,Gaza Strip,12.1
2019,Both sexes or no breakdown by sex,Gaza Strip,18.3
2020,Both sexes or no breakdown by sex,Gaza Strip,13.3
2000,Both sexes or no breakdown by sex,Palestine,24.9
2004,Both sexes or no breakdown by sex,Palestine,22.3
2006,Both sexes or no breakdown by sex,Palestine,22.5
2010,Both sexes or no breakdown by sex,Palestine,19.4
2019,Both sexes or no breakdown by sex,Palestine,29.5
2020,Both sexes or no breakdown by sex,Palestine,24.3
