Year,SEX,AREA,Series,Value
2000,Male,Jenin,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",18.4
2001,Male,Jenin,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",40.9
2002,Male,Jenin,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",48.2
2003,Male,Jenin,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",39.0
2004,Male,Jenin,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",30.7
2005,Male,Jenin,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",25.7
2006,Male,Jenin,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",23.5
2007,Male,Jenin,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",20.3
2008,Male,Jenin,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",24.6
2009,Male,Jenin,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",18.6
2010,Male,Jenin,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",15.4
2011,Male,Jenin,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",12.3
2012,Male,Jenin,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",12.9
2013,Male,Jenin,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",15.1
2014,Male,Jenin,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",12.1
2015,Male,Jenin,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",13.7
2016,Male,Jenin,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",15.5
2017,Male,Jenin,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",13.7
2018,Male,Jenin,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",16.8
2000,Male,Tubas & Northern Valleys,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",16.3
2001,Male,Tubas & Northern Valleys,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",33.6
2002,Male,Tubas & Northern Valleys,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",41.8
2003,Male,Tubas & Northern Valleys,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",27.0
2004,Male,Tubas & Northern Valleys,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",22.9
2005,Male,Tubas & Northern Valleys,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",18.3
2006,Male,Tubas & Northern Valleys,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",17.5
2007,Male,Tubas & Northern Valleys,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",20.3
2008,Male,Tubas & Northern Valleys,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",16.7
2009,Male,Tubas & Northern Valleys,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",11.3
2010,Male,Tubas & Northern Valleys,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",11.4
2011,Male,Tubas & Northern Valleys,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",14.0
2012,Male,Tubas & Northern Valleys,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",13.7
2013,Male,Tubas & Northern Valleys,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",14.2
2014,Male,Tubas & Northern Valleys,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",11.4
2015,Male,Tubas & Northern Valleys,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",15.5
2016,Male,Tubas & Northern Valleys,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",15.4
2017,Male,Tubas & Northern Valleys,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",17.6
2018,Male,Tubas & Northern Valleys,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",13.9
2000,Male,Tulkarm,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",17.3
2001,Male,Tulkarm,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",22.3
2002,Male,Tulkarm,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",25.9
2003,Male,Tulkarm,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",26.9
2004,Male,Tulkarm,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",22.8
2005,Male,Tulkarm,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",21.4
2006,Male,Tulkarm,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",21.6
2007,Male,Tulkarm,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",19.4
2008,Male,Tulkarm,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",19.6
2009,Male,Tulkarm,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",18.4
2010,Male,Tulkarm,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",19.9
2011,Male,Tulkarm,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",20.5
2012,Male,Tulkarm,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",25.9
2013,Male,Tulkarm,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",17.8
2014,Male,Tulkarm,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",10.8
2015,Male,Tulkarm,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",13.3
2016,Male,Tulkarm,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",12.7
2017,Male,Tulkarm,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",13.2
2018,Male,Tulkarm,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",14.7
2000,Male,Nablus,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",10.2
2001,Male,Nablus,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",23.0
2002,Male,Nablus,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",30.7
2003,Male,Nablus,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",25.9
