Year,AREA,Series,Value
2000,West Bank,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,8.4
2001,West Bank,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,8.6
2002,West Bank,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,11.0
2003,West Bank,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,10.2
2004,West Bank,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,6.1
2005,West Bank,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,7.2
2006,West Bank,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,7.6
2007,West Bank,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,5.5
2008,West Bank,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,5.5
2009,West Bank,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,7.5
2010,West Bank,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,5.6
2011,West Bank,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,0.0
2012,West Bank,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,5.5
2013,West Bank,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,8.2
2014,West Bank,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,6.4
2015,West Bank,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,7.7
2016,West Bank,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,10.5
2017,West Bank,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,6.9
2018,West Bank,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,7.3
2019,West Bank,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,6.3
2000,Gaza Strip,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,6.4
2001,Gaza Strip,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,3.4
2002,Gaza Strip,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,4.9
2003,Gaza Strip,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,5.5
2004,Gaza Strip,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,9.2
2005,Gaza Strip,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,8.6
2006,Gaza Strip,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,5.2
2007,Gaza Strip,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,6.6
2008,Gaza Strip,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,7.0
2009,Gaza Strip,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,7.2
2010,Gaza Strip,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,2.6
2011,Gaza Strip,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,0.0
2012,Gaza Strip,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,4.5
2013,Gaza Strip,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,4.1
2014,Gaza Strip,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,16.0
2015,Gaza Strip,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,9.5
2016,Gaza Strip,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,5.9
2017,Gaza Strip,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,4.3
2018,Gaza Strip,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,6.1
2019,Gaza Strip,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,4.6
