Year,SEX,AREA,Series,Value
2016,Male,West Bank,"population that feel safe walking alone around the area they live by SEX, AREA and TIME PERIOD",
2018,Male,West Bank,"population that feel safe walking alone around the area they live by SEX, AREA and TIME PERIOD",
2016,Male,Gaza Strip,"population that feel safe walking alone around the area they live by SEX, AREA and TIME PERIOD",
2018,Male,Gaza Strip,"population that feel safe walking alone around the area they live by SEX, AREA and TIME PERIOD",
2016,Male,Palestine,"population that feel safe walking alone around the area they live by SEX, AREA and TIME PERIOD",87.0
2018,Male,Palestine,"population that feel safe walking alone around the area they live by SEX, AREA and TIME PERIOD",92.4
2016,Female,West Bank,"population that feel safe walking alone around the area they live by SEX, AREA and TIME PERIOD",
2018,Female,West Bank,"population that feel safe walking alone around the area they live by SEX, AREA and TIME PERIOD",
2016,Female,Gaza Strip,"population that feel safe walking alone around the area they live by SEX, AREA and TIME PERIOD",
2018,Female,Gaza Strip,"population that feel safe walking alone around the area they live by SEX, AREA and TIME PERIOD",
2016,Female,Palestine,"population that feel safe walking alone around the area they live by SEX, AREA and TIME PERIOD",87.4
2018,Female,Palestine,"population that feel safe walking alone around the area they live by SEX, AREA and TIME PERIOD",91.5
2016,,West Bank,"population that feel safe walking alone around the area they live by SEX, AREA and TIME PERIOD",84.7
2018,,West Bank,"population that feel safe walking alone around the area they live by SEX, AREA and TIME PERIOD",90.8
2016,,Gaza Strip,"population that feel safe walking alone around the area they live by SEX, AREA and TIME PERIOD",91.3
2018,,Gaza Strip,"population that feel safe walking alone around the area they live by SEX, AREA and TIME PERIOD",93.9
2016,,Palestine,"population that feel safe walking alone around the area they live by SEX, AREA and TIME PERIOD",87.2
2018,,Palestine,"population that feel safe walking alone around the area they live by SEX, AREA and TIME PERIOD",92.0
