Year,SEX,AREA,Series,Value
2000,Male,West Bank,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",
2004,Male,West Bank,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",
2006,Male,West Bank,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",
2010,Male,West Bank,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",
2019,Male,West Bank,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",
2020,Male,West Bank,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",
2000,Male,Gaza Strip,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",
2004,Male,Gaza Strip,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",
2006,Male,Gaza Strip,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",
2010,Male,Gaza Strip,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",
2019,Male,Gaza Strip,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",
2020,Male,Gaza Strip,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",
2000,Male,Palestine,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",46.2
2004,Male,Palestine,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",41.8
2006,Male,Palestine,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",42.2
2010,Male,Palestine,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",36.5
2019,Male,Palestine,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",51.2
2020,Male,Palestine,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",41.2
2000,Female,West Bank,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",
2004,Female,West Bank,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",
2006,Female,West Bank,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",
2010,Female,West Bank,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",
2019,Female,West Bank,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",
2020,Female,West Bank,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",
2000,Female,Gaza Strip,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",
2004,Female,Gaza Strip,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",
2006,Female,Gaza Strip,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",
2010,Female,Gaza Strip,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) by SEX, AREA and TIME PERIOD",
