Year,Series,Value
2005,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",63.93
2006,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",43.6
2007,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",68.09
2008,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",170.68
2009,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",239.96
2010,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",187.14
2011,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",88.23
2012,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",93.73
2013,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",181.19
2014,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",58.19
2015,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",148.47
2016,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",144.93
2017,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",126.41
2018,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",129.7
2006,"Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",85.85
2007,"Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",65.64
2008,"Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",59.99
2009,"Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",140.27
2010,"Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",222.41
2011,"Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",178.23
2012,"Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",70.02
2013,"Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",99.83
2014,"Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",125.9
2015,"Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",103.17
2016,"Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",129.14
2017,"Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",228.75
2018,"Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars) by TIME PERIOD",133.3
