Year,Value,Series
2000,20.2,Proportion of domestic budget funded by domestic taxes by TIME PERIOD
2001,20.4,Proportion of domestic budget funded by domestic taxes by TIME PERIOD
2002,22.0,Proportion of domestic budget funded by domestic taxes by TIME PERIOD
2003,8.2,Proportion of domestic budget funded by domestic taxes by TIME PERIOD
2004,9.4,Proportion of domestic budget funded by domestic taxes by TIME PERIOD
2005,8.5,Proportion of domestic budget funded by domestic taxes by TIME PERIOD
2006,9.5,Proportion of domestic budget funded by domestic taxes by TIME PERIOD
2007,11.0,Proportion of domestic budget funded by domestic taxes by TIME PERIOD
2008,11.2,Proportion of domestic budget funded by domestic taxes by TIME PERIOD
2009,10.5,Proportion of domestic budget funded by domestic taxes by TIME PERIOD
2010,19.5,Proportion of domestic budget funded by domestic taxes by TIME PERIOD
2011,11.0,Proportion of domestic budget funded by domestic taxes by TIME PERIOD
2012,25.0,Proportion of domestic budget funded by domestic taxes by TIME PERIOD
2013,25.8,Proportion of domestic budget funded by domestic taxes by TIME PERIOD
2014,21.9,Proportion of domestic budget funded by domestic taxes by TIME PERIOD
2015,21.5,Proportion of domestic budget funded by domestic taxes by TIME PERIOD
2016,17.6,Proportion of domestic budget funded by domestic taxes by TIME PERIOD
2017,21.4,Proportion of domestic budget funded by domestic taxes by TIME PERIOD
2018,24.5,Proportion of domestic budget funded by domestic taxes by TIME PERIOD
2019,23.4,Proportion of domestic budget funded by domestic taxes by TIME PERIOD
