Year,Value,Series
2011,0.1,Installed renewable energy-generating capacity in developing countries (in watts/capita) by TIME PERIOD
2012,0.1,Installed renewable energy-generating capacity in developing countries (in watts/capita) by TIME PERIOD
2013,0.1,Installed renewable energy-generating capacity in developing countries (in watts/capita) by TIME PERIOD
2014,0.7,Installed renewable energy-generating capacity in developing countries (in watts/capita) by TIME PERIOD
2015,2.6,Installed renewable energy-generating capacity in developing countries (in watts/capita) by TIME PERIOD
2016,5.4,Installed renewable energy-generating capacity in developing countries (in watts/capita) by TIME PERIOD
2017,7.4,Installed renewable energy-generating capacity in developing countries (in watts/capita) by TIME PERIOD
2018,8.2,Installed renewable energy-generating capacity in developing countries (in watts/capita) by TIME PERIOD
2019,16.1,Installed renewable energy-generating capacity in developing countries (in watts/capita) by TIME PERIOD
2020,19.6,Installed renewable energy-generating capacity in developing countries (in watts/capita) by TIME PERIOD
