Year,Value,Series
2014,26.3,Prevalence of moderate or severe food insecurity in the adult population (%) by TIME PERIOD
2015,26.3,Prevalence of moderate or severe food insecurity in the adult population (%) by TIME PERIOD
2016,26.3,Prevalence of moderate or severe food insecurity in the adult population (%) by TIME PERIOD
2017,26.3,Prevalence of moderate or severe food insecurity in the adult population (%) by TIME PERIOD
2018,26.3,Prevalence of moderate or severe food insecurity in the adult population (%) by TIME PERIOD
2019,26.3,Prevalence of moderate or severe food insecurity in the adult population (%) by TIME PERIOD
2014,4.4,Prevalence of severe  food insecurity in the adult population (%) by TIME PERIOD
2015,4.4,Prevalence of severe  food insecurity in the adult population (%) by TIME PERIOD
2016,4.4,Prevalence of severe  food insecurity in the adult population (%) by TIME PERIOD
2017,4.4,Prevalence of severe  food insecurity in the adult population (%) by TIME PERIOD
2018,4.4,Prevalence of severe  food insecurity in the adult population (%) by TIME PERIOD
2019,4.4,Prevalence of severe  food insecurity in the adult population (%) by TIME PERIOD
