Year,Value,Series
2000,1,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD
2001,1,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD
2002,1,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD
2003,1,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD
2004,1,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD
2005,1,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD
2006,1,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD
2007,1,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD
2008,1,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD
2009,1,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD
2010,1,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD
2011,1,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD
2012,1,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD
2013,1,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD
2014,1,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD
2015,1,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD
2016,1,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD
2017,1,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD
2018,1,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD
2019,1,the countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) by TIME PERIOD
