Year,Value,Series
2010,-0.6,Consumer Food Price Index by TIME PERIOD
2011,-0.7,Consumer Food Price Index by TIME PERIOD
2012,-0.7,Consumer Food Price Index by TIME PERIOD
2013,-0.5,Consumer Food Price Index by TIME PERIOD
2014,-0.8,Consumer Food Price Index by TIME PERIOD
2015,0.2,Consumer Food Price Index by TIME PERIOD
2016,-0.7,Consumer Food Price Index by TIME PERIOD
2017,-0.5,Consumer Food Price Index by TIME PERIOD
2018,-0.1,Consumer Food Price Index by TIME PERIOD
2019,0.6,Consumer Food Price Index by TIME PERIOD
2015,-0.1,Indicator of Food Price Anomalies (IFPA) for Rice by TIME PERIOD
2016,-0.1,Indicator of Food Price Anomalies (IFPA) for Rice by TIME PERIOD
2017,-0.2,Indicator of Food Price Anomalies (IFPA) for Rice by TIME PERIOD
2018,-0.1,Indicator of Food Price Anomalies (IFPA) for Rice by TIME PERIOD
2019,-0.1,Indicator of Food Price Anomalies (IFPA) for Rice by TIME PERIOD
2020,-0.05,Indicator of Food Price Anomalies (IFPA) for Rice by TIME PERIOD
2015,0.3,Indicator of Food Price Anomalies (IFPA) for Wheat by TIME PERIOD
2016,-0.1,Indicator of Food Price Anomalies (IFPA) for Wheat by TIME PERIOD
2017,0.2,Indicator of Food Price Anomalies (IFPA) for Wheat by TIME PERIOD
2018,0.3,Indicator of Food Price Anomalies (IFPA) for Wheat by TIME PERIOD
2019,0.4,Indicator of Food Price Anomalies (IFPA) for Wheat by TIME PERIOD
2020,0.46,Indicator of Food Price Anomalies (IFPA) for Wheat by TIME PERIOD
