Year,Value,Series
2001,2.7,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD
2002,3.2,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD
2003,3.1,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD
2004,3.6,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD
2005,3.8,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD
2006,3.2,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD
2007,3.2,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD
2008,3.0,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD
2009,2.7,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD
2010,2.7,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD
2011,2.7,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD
2012,2.5,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD
2013,2.5,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD
2014,2.9,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD
2015,2.9,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD
2016,2.8,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD
2017,2.7,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD
2018,2.6,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD
2019,2.8,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD
