Year,URBANISATION,SEX,AREA,Series,Value
2018,,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",38.3
2021,,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",28.3
2018,,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
