Year,AREA,Value
2000,West Bank,-8.9
2001,West Bank,-14.3
2002,West Bank,-16.94
2003,West Bank,6.92
2004,West Bank,22.04
2005,West Bank,3.64
2006,West Bank,5.96
2007,West Bank,7.38
2008,West Bank,10.58
2009,West Bank,6.68
2010,West Bank,2.31
2011,West Bank,7.2
2012,West Bank,3.26
2013,West Bank,1.6
2014,West Bank,2.26
2015,West Bank,2.34
2016,West Bank,6.73
2017,West Bank,1.89
2018,West Bank,0.1
2019,West Bank,-0.7
2020,West Bank,-13.4
2000,Gaza Strip,-16.86
2001,Gaza Strip,-5.98
2002,Gaza Strip,-10.55
2003,Gaza Strip,18.71
2004,Gaza Strip,9.77
2005,Gaza Strip,16.08
2006,Gaza Strip,-20.48
2007,Gaza Strip,-14.02
2008,Gaza Strip,-11.27
2009,Gaza Strip,3.56
2010,Gaza Strip,6.59
2011,Gaza Strip,6.51
2012,Gaza Strip,5.12
2013,Gaza Strip,4.85
2014,Gaza Strip,-16.24
2015,Gaza Strip,-1.36
2016,Gaza Strip,6.26
2017,Gaza Strip,-10.06
2018,Gaza Strip,-6.32
2019,Gaza Strip,-2.5
2020,Gaza Strip,-14.8
2000,Palestine,-11.44
2001,Palestine,-11.91
2002,Palestine,-14.96
2003,Palestine,10.78
2004,Palestine,18.44
2005,Palestine,7.94
2006,Palestine,-3.98
2007,Palestine,0.65
2008,Palestine,4.55
2009,Palestine,5.77
2010,Palestine,3.09
2011,Palestine,6.89
2012,Palestine,3.53
2013,Palestine,2.23
2014,Palestine,-2.46
2015,Palestine,1.39
2016,Palestine,6.46
2017,Palestine,-0.77
2018,Palestine,-1.31
2019,Palestine,-1.2
2020,Palestine,-13.7
