Year,Value,Series
2005,0.09,The agriculture orientation index for government expenditures by TIME PERIOD
2006,0.06,The agriculture orientation index for government expenditures by TIME PERIOD
2007,0.09,The agriculture orientation index for government expenditures by TIME PERIOD
2008,0.08,The agriculture orientation index for government expenditures by TIME PERIOD
2009,0.06,The agriculture orientation index for government expenditures by TIME PERIOD
2010,0.08,The agriculture orientation index for government expenditures by TIME PERIOD
2011,0.09,The agriculture orientation index for government expenditures by TIME PERIOD
2012,0.09,The agriculture orientation index for government expenditures by TIME PERIOD
2013,0.09,The agriculture orientation index for government expenditures by TIME PERIOD
2014,0.09,The agriculture orientation index for government expenditures by TIME PERIOD
2015,0.15,The agriculture orientation index for government expenditures by TIME PERIOD
2016,0.13,The agriculture orientation index for government expenditures by TIME PERIOD
2017,0.11,The agriculture orientation index for government expenditures by TIME PERIOD
2018,0.12,The agriculture orientation index for government expenditures by TIME PERIOD
2011,0.8,Agriculture share of Government Expenditure by TIME PERIOD
2012,0.8,Agriculture share of Government Expenditure by TIME PERIOD
2013,0.91,Agriculture share of Government Expenditure by TIME PERIOD
2014,0.98,Agriculture share of Government Expenditure by TIME PERIOD
2015,1.1,Agriculture share of Government Expenditure by TIME PERIOD
2016,0.96,Agriculture share of Government Expenditure by TIME PERIOD
2017,0.83,Agriculture share of Government Expenditure by TIME PERIOD
2018,0.93,Agriculture share of Government Expenditure by TIME PERIOD
2019,0.97,Agriculture share of Government Expenditure by TIME PERIOD
2005,9.0,Agriculture value added share of GDP by TIME PERIOD
2006,11.4,Agriculture value added share of GDP by TIME PERIOD
2007,8.9,Agriculture value added share of GDP by TIME PERIOD
2008,10.1,Agriculture value added share of GDP by TIME PERIOD
2009,10.0,Agriculture value added share of GDP by TIME PERIOD
2010,9.0,Agriculture value added share of GDP by TIME PERIOD
2011,8.3,Agriculture value added share of GDP by TIME PERIOD
2012,8.1,Agriculture value added share of GDP by TIME PERIOD
2013,7.6,Agriculture value added share of GDP by TIME PERIOD
2014,7.8,Agriculture value added share of GDP by TIME PERIOD
2015,7.4,Agriculture value added share of GDP by TIME PERIOD
2016,7.6,Agriculture value added share of GDP by TIME PERIOD
2017,7.0,Agriculture value added share of GDP by TIME PERIOD
2018,7.4,Agriculture value added share of GDP by TIME PERIOD
2019,7.3,Agriculture value added share of GDP by TIME PERIOD
