Year,Value,Series
2000,20.2,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD
2001,20.4,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD
2002,22.0,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD
2003,8.2,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD
2004,9.4,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD
2005,8.5,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD
2006,9.5,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD
2007,11.0,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD
2008,11.2,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD
2009,10.5,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD
2010,10.6,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD
2011,11.0,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD
2012,15.5,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD
2013,12.2,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD
2014,14.4,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD
2015,14.6,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD
2016,15.7,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD
2017,14.9,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD
2018,19.6,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD
2019,15.8,Volume of remittances (in United States dollars) as a proportion of total GDP by TIME PERIOD
