Year,Value,Series
2017,1,Proportion of countries that have conducted at least one population and housing census in the last 10 years  (1 = YES; 0 = NO) by TIME PERIOD
2007,1,Proportion of countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) by TIME PERIOD
2008,1,Proportion of countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) by TIME PERIOD
2011,1,Proportion of countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) by TIME PERIOD
2012,1,Proportion of countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) by TIME PERIOD
2015,1,Proportion of countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) by TIME PERIOD
2016,1,Proportion of countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) by TIME PERIOD
2017,1,Proportion of countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) by TIME PERIOD
2018,1,Proportion of countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) by TIME PERIOD
2019,1,Proportion of countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) by TIME PERIOD
2007,2,Proportion of countries with death registration data that are at least 75 percent (1 = YES; 0 = NO) by TIME PERIOD
2008,2,Proportion of countries with death registration data that are at least 75 percent (1 = YES; 0 = NO) by TIME PERIOD
2009,1,Proportion of countries with death registration data that are at least 75 percent (1 = YES; 0 = NO) by TIME PERIOD
2010,2,Proportion of countries with death registration data that are at least 75 percent (1 = YES; 0 = NO) by TIME PERIOD
2011,2,Proportion of countries with death registration data that are at least 75 percent (1 = YES; 0 = NO) by TIME PERIOD
2012,1,Proportion of countries with death registration data that are at least 75 percent (1 = YES; 0 = NO) by TIME PERIOD
2013,2,Proportion of countries with death registration data that are at least 75 percent (1 = YES; 0 = NO) by TIME PERIOD
2014,1,Proportion of countries with death registration data that are at least 75 percent (1 = YES; 0 = NO) by TIME PERIOD
2015,1,Proportion of countries with death registration data that are at least 75 percent (1 = YES; 0 = NO) by TIME PERIOD
2016,1,Proportion of countries with death registration data that are at least 75 percent (1 = YES; 0 = NO) by TIME PERIOD
2017,2,Proportion of countries with death registration data that are at least 75 percent (1 = YES; 0 = NO) by TIME PERIOD
2018,2,Proportion of countries with death registration data that are at least 75 percent (1 = YES; 0 = NO) by TIME PERIOD
2019,2,Proportion of countries with death registration data that are at least 75 percent (1 = YES; 0 = NO) by TIME PERIOD
