Year,Value,Series
2000,20.92,Total net official development assistance to medical research and basic health sectors by TIME PERIOD
2001,10.17,Total net official development assistance to medical research and basic health sectors by TIME PERIOD
2002,17.92,Total net official development assistance to medical research and basic health sectors by TIME PERIOD
2003,21.97,Total net official development assistance to medical research and basic health sectors by TIME PERIOD
2004,45.22,Total net official development assistance to medical research and basic health sectors by TIME PERIOD
2005,41.82,Total net official development assistance to medical research and basic health sectors by TIME PERIOD
2006,64.7,Total net official development assistance to medical research and basic health sectors by TIME PERIOD
2007,57.55,Total net official development assistance to medical research and basic health sectors by TIME PERIOD
2008,66.94,Total net official development assistance to medical research and basic health sectors by TIME PERIOD
2009,69.71,Total net official development assistance to medical research and basic health sectors by TIME PERIOD
2010,71.72,Total net official development assistance to medical research and basic health sectors by TIME PERIOD
2011,65.4,Total net official development assistance to medical research and basic health sectors by TIME PERIOD
2012,71.79,Total net official development assistance to medical research and basic health sectors by TIME PERIOD
2013,57.35,Total net official development assistance to medical research and basic health sectors by TIME PERIOD
2014,69.59,Total net official development assistance to medical research and basic health sectors by TIME PERIOD
2015,114.65,Total net official development assistance to medical research and basic health sectors by TIME PERIOD
2016,87.4,Total net official development assistance to medical research and basic health sectors by TIME PERIOD
2017,161.58,Total net official development assistance to medical research and basic health sectors by TIME PERIOD
2018,121.62,Total net official development assistance to medical research and basic health sectors by TIME PERIOD
2019,120.46,Total net official development assistance to medical research and basic health sectors by TIME PERIOD
