Year,SEX,AREA,Series,Value
2009,Male,West Bank,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
2010,Male,West Bank,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
2011,Male,West Bank,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
2017,Male,West Bank,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
2009,Male,Gaza Strip,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
2010,Male,Gaza Strip,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
2011,Male,Gaza Strip,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
2017,Male,Gaza Strip,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
2009,Male,Palestine,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",26.1
2010,Male,Palestine,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",25.3
2011,Male,Palestine,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",25.5
2017,Male,Palestine,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",28.8
2009,Male,Jenin,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
2010,Male,Jenin,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
2011,Male,Jenin,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
2017,Male,Jenin,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
2009,Male,Tubas & Northern Valleys,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
2010,Male,Tubas & Northern Valleys,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
2011,Male,Tubas & Northern Valleys,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
2017,Male,Tubas & Northern Valleys,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
2009,Male,Tulkarm,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
2010,Male,Tulkarm,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
2011,Male,Tulkarm,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
2017,Male,Tulkarm,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
2009,Male,Nablus,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
2010,Male,Nablus,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
2011,Male,Nablus,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
2017,Male,Nablus,"Proportion of population living below the national poverty line (%) by SEX, AREA and TIME PERIOD",
