Year,Series,Value
2010,"Proportion of total government spending on essential services (education, health and social protection) by TIME PERIOD",42.8
2011,"Proportion of total government spending on essential services (education, health and social protection) by TIME PERIOD",40.3
2012,"Proportion of total government spending on essential services (education, health and social protection) by TIME PERIOD",44.6
2013,"Proportion of total government spending on essential services (education, health and social protection) by TIME PERIOD",49.1
2014,"Proportion of total government spending on essential services (education, health and social protection) by TIME PERIOD",51.2
2015,"Proportion of total government spending on essential services (education, health and social protection) by TIME PERIOD",48.6
2016,"Proportion of total government spending on essential services (education, health and social protection) by TIME PERIOD",47.4
2017,"Proportion of total government spending on essential services (education, health and social protection) by TIME PERIOD",50.0
2018,"Proportion of total government spending on essential services (education, health and social protection) by TIME PERIOD",56.3
2019,"Proportion of total government spending on essential services (education, health and social protection) by TIME PERIOD",57.9
