Year,Series,Value
2000,Total net official development assistance to medical research and basic health sectors by TIME PERIOD,20.92
2001,Total net official development assistance to medical research and basic health sectors by TIME PERIOD,10.17
2002,Total net official development assistance to medical research and basic health sectors by TIME PERIOD,17.92
2003,Total net official development assistance to medical research and basic health sectors by TIME PERIOD,21.97
2004,Total net official development assistance to medical research and basic health sectors by TIME PERIOD,45.22
2005,Total net official development assistance to medical research and basic health sectors by TIME PERIOD,41.82
2006,Total net official development assistance to medical research and basic health sectors by TIME PERIOD,64.7
2007,Total net official development assistance to medical research and basic health sectors by TIME PERIOD,57.55
2008,Total net official development assistance to medical research and basic health sectors by TIME PERIOD,66.94
2009,Total net official development assistance to medical research and basic health sectors by TIME PERIOD,69.71
2010,Total net official development assistance to medical research and basic health sectors by TIME PERIOD,71.72
2011,Total net official development assistance to medical research and basic health sectors by TIME PERIOD,65.4
2012,Total net official development assistance to medical research and basic health sectors by TIME PERIOD,71.79
2013,Total net official development assistance to medical research and basic health sectors by TIME PERIOD,57.35
2014,Total net official development assistance to medical research and basic health sectors by TIME PERIOD,69.59
2015,Total net official development assistance to medical research and basic health sectors by TIME PERIOD,114.65
2016,Total net official development assistance to medical research and basic health sectors by TIME PERIOD,87.4
2017,Total net official development assistance to medical research and basic health sectors by TIME PERIOD,161.58
2018,Total net official development assistance to medical research and basic health sectors by TIME PERIOD,121.62
2019,Total net official development assistance to medical research and basic health sectors by TIME PERIOD,120.46
