Year,Series,Value
2001,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD,2.7
2002,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD,3.2
2003,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD,3.1
2004,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD,3.6
2005,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD,3.8
2006,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD,3.2
2007,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD,3.2
2008,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD,3.0
2009,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD,2.7
2010,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD,2.7
2011,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD,2.7
2012,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD,2.5
2013,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD,2.5
2014,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD,2.9
2015,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD,2.9
2016,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD,2.8
2017,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD,2.7
2018,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD,2.6
2019,Energy intensity measured in terms of primary energy and gross domestic product (GDP) by TIME PERIOD,2.8
