Year,AREA,Series,Value
2000,West Bank,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,28.7
2001,West Bank,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,30.8
2002,West Bank,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,35.4
2003,West Bank,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,25.4
2004,West Bank,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,26.8
2005,West Bank,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,29.9
2006,West Bank,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,23.4
2007,West Bank,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,21.2
2008,West Bank,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,19.7
2009,West Bank,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,23.6
2010,West Bank,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,22.8
2012,West Bank,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,17.1
2013,West Bank,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,16.7
2014,West Bank,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,17.4
2015,West Bank,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,20.1
2016,West Bank,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,19.6
2017,West Bank,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,14.6
2018,West Bank,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,15.9
2019,West Bank,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,21.8
2000,Gaza Strip,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,24.2
2001,Gaza Strip,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,33.1
2002,Gaza Strip,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,43.1
2003,Gaza Strip,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,28.5
2004,Gaza Strip,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,32.4
2005,Gaza Strip,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,35.9
2006,Gaza Strip,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,23.0
2007,Gaza Strip,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,50.3
2008,Gaza Strip,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,46.7
2009,Gaza Strip,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,57.1
2010,Gaza Strip,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,27.0
2012,Gaza Strip,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,28.9
2013,Gaza Strip,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,37.0
2014,Gaza Strip,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,22.5
2015,Gaza Strip,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,24.4
2016,Gaza Strip,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,24.0
2017,Gaza Strip,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,25.5
2018,Gaza Strip,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,29.6
2019,Gaza Strip,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,34.1
2000,Palestine,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,27.6
2001,Palestine,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,31.5
2002,Palestine,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,37.2
2003,Palestine,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,26.2
2004,Palestine,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,28.0
2005,Palestine,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,31.1
2006,Palestine,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,23.3
2007,Palestine,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,23.0
2008,Palestine,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,21.0
2009,Palestine,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,25.5
2010,Palestine,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,23.4
2012,Palestine,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,18.9
2013,Palestine,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,19.4
2014,Palestine,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,18.2
2015,Palestine,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,21.0
2016,Palestine,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,20.3
2017,Palestine,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,16.1
2018,Palestine,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,17.6
2019,Palestine,Proportion of small-scale industries in total industry value added (%) by AREA and TIME PERIOD,22.6
